,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,STUDY ACCESSION,parentterm,color
27,Other/Mixed,18.0,31295674.0,Condreay LD,Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease,initial,2019-07-05,GCST008268,Other disease,#99d594
28,Asian,73.0,31295674.0,Condreay LD,Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease,initial,2019-07-05,GCST008268,Other disease,#d53e4f
29,European,504.0,31295674.0,Condreay LD,Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease,initial,2019-07-05,GCST008268,Other disease,#3288bd
30,,1209.0,31299468.0,Condreay LD,Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008292,Other disease,black
31,,1209.0,31299468.0,Condreay LD,Change in quality of life in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008292,Response to drug,black
32,European,1869.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#3288bd
34,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#d53e4f
35,Other/Mixed,7.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#99d594
36,Other/Mixed,3.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#99d594
37,,1.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,black
38,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#d53e4f
39,Other/Mixed,4.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other measurement,#99d594
40,European,1869.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#3288bd
42,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#d53e4f
43,Other/Mixed,7.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#99d594
44,Other/Mixed,3.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#99d594
45,,1.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,black
46,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#d53e4f
47,Other/Mixed,4.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Other disease,#99d594
48,European,1869.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#3288bd
50,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#d53e4f
51,Other/Mixed,7.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#99d594
52,Other/Mixed,3.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#99d594
53,,1.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,black
54,Asian,33.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#d53e4f
55,Other/Mixed,4.0,31299468.0,Condreay LD,Change in trough FEV1 in response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008293,Response to drug,#99d594
56,,1188.0,31299468.0,Condreay LD,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008294,Other measurement,black
57,,1188.0,31299468.0,Condreay LD,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008294,Other disease,black
58,,1188.0,31299468.0,Condreay LD,Response to fluticasone propionate/salmeterol in chronic obstructive pulmonary disease,initial,2019-06-29,GCST008294,Response to drug,black
59,Hispanic/Latin American,11816.0,31235808.0,Shungin D,"Number of decayed, missing and filled tooth surfaces or use of dentures",initial,2019-06-24,GCST008295,Digestive system disorder,#807dba
60,European,476007.0,31235808.0,Shungin D,"Number of decayed, missing and filled tooth surfaces or use of dentures",initial,2019-06-24,GCST008295,Digestive system disorder,#3288bd
61,Hispanic/Latin American,10948.0,31235808.0,Shungin D,Periodontitis or loose teeth,initial,2019-06-24,GCST008296,Digestive system disorder,#807dba
62,European,495646.0,31235808.0,Shungin D,Periodontitis or loose teeth,initial,2019-06-24,GCST008296,Digestive system disorder,#3288bd
63,Asian,17350.0,31235808.0,Shungin D,Periodontitis or loose teeth,initial,2019-06-24,GCST008296,Digestive system disorder,#d53e4f
64,Hispanic/Latin American,10948.0,31235808.0,Shungin D,Periodontitis or loose teeth,initial,2019-06-24,GCST008296,Other measurement,#807dba
65,European,495646.0,31235808.0,Shungin D,Periodontitis or loose teeth,initial,2019-06-24,GCST008296,Other measurement,#3288bd
66,Asian,17350.0,31235808.0,Shungin D,Periodontitis or loose teeth,initial,2019-06-24,GCST008296,Other measurement,#d53e4f
67,European,461031.0,31235808.0,Shungin D,Loose teeth,initial,2019-06-24,GCST008297,Other measurement,#3288bd
68,European,461031.0,31235808.0,Shungin D,Mouth ulcers,initial,2019-06-24,GCST008304,Other trait,#3288bd
69,European,461031.0,31235808.0,Shungin D,Painful gums,initial,2019-06-24,GCST008303,Other measurement,#3288bd
70,European,461031.0,31235808.0,Shungin D,Bleeding gums,initial,2019-06-24,GCST008301,Other trait,#3288bd
71,Asian,17350.0,31235808.0,Shungin D,Periodontitis,initial,2019-06-24,GCST008300,Digestive system disorder,#d53e4f
72,Hispanic/Latin American,10948.0,31235808.0,Shungin D,Periodontitis,initial,2019-06-24,GCST008300,Digestive system disorder,#807dba
73,European,17353.0,31235808.0,Shungin D,Periodontitis,initial,2019-06-24,GCST008300,Digestive system disorder,#3288bd
74,Hispanic/Latin American,11816.0,31235808.0,Shungin D,Number of decayed and filled tooth surfaces per available tooth surface,initial,2019-06-24,GCST008299,Digestive system disorder,#807dba
75,European,14717.0,31235808.0,Shungin D,Number of decayed and filled tooth surfaces per available tooth surface,initial,2019-06-24,GCST008299,Digestive system disorder,#3288bd
76,European,14976.0,31235808.0,Shungin D,"Number of decayed, missing and filled tooth surfaces",initial,2019-06-24,GCST008302,Digestive system disorder,#3288bd
77,Hispanic/Latin American,11816.0,31235808.0,Shungin D,"Number of decayed, missing and filled tooth surfaces",initial,2019-06-24,GCST008302,Digestive system disorder,#807dba
78,European,2974.0,31231134.0,Laskar RS,Renal cell carcinoma,replication,2019-06-23,GCST008225,Cancer,#3288bd
79,European,5087.0,31231134.0,Laskar RS,Renal cell carcinoma,initial,2019-06-23,GCST008225,Cancer,#3288bd
80,European,8113.0,31231134.0,Laskar RS,Renal cell carcinoma,replication,2019-06-23,GCST008226,Cancer,#3288bd
81,European,8143.0,31231134.0,Laskar RS,Renal cell carcinoma,initial,2019-06-23,GCST008226,Cancer,#3288bd
82,European,13230.0,31231134.0,Laskar RS,Renal cell carcinoma x sex interaction,initial,2019-06-23,GCST008224,Other measurement,#3288bd
83,European,11087.0,31231134.0,Laskar RS,Renal cell carcinoma x sex interaction,replication,2019-06-23,GCST008224,Other measurement,#3288bd
84,European,13230.0,31231134.0,Laskar RS,Renal cell carcinoma x sex interaction,initial,2019-06-23,GCST008224,Cancer,#3288bd
85,European,11087.0,31231134.0,Laskar RS,Renal cell carcinoma x sex interaction,replication,2019-06-23,GCST008224,Cancer,#3288bd
86,Hispanic/Latin American,7953.0,31226226.0,Du Z,Prostate cancer,initial,2019-06-21,GCST008231,Cancer,#807dba
87,Hispanic/Latin American,3595.0,31219225.0,Young KA,Alanine aminotransferase levels,initial,2019-06-20,GCST008173,Liver enzyme measurement,#807dba
88,Hispanic/Latin American,3644.0,31219225.0,Young KA,Aspartate aminotransferase levels,initial,2019-06-20,GCST008174,Liver enzyme measurement,#807dba
89,Hispanic/Latin American,1577.0,31219225.0,Young KA,Gamma glutamyl transferase levels,initial,2019-06-20,GCST008175,Liver enzyme measurement,#807dba
91,Other/Mixed,645.0,31217584.0,Wojcik GL,Body mass index,initial,2019-06-19,GCST008025,Body measurement,#99d594
92,Other/Mixed,3936.0,31217584.0,Wojcik GL,Body mass index,initial,2019-06-19,GCST008025,Body measurement,#99d594
93,Asian,4647.0,31217584.0,Wojcik GL,Body mass index,initial,2019-06-19,GCST008025,Body measurement,#d53e4f
94,African Am./Caribbean,17127.0,31217584.0,Wojcik GL,Body mass index,initial,2019-06-19,GCST008025,Body measurement,#fee08b
95,Hispanic/Latin American,21955.0,31217584.0,Wojcik GL,Body mass index,initial,2019-06-19,GCST008025,Body measurement,#807dba
96,European,13577.0,31217265.0,Sliz E,Tumor necrosis factor alpha levels,initial,2019-06-19,GCST008211,Inflammatory measurement,#3288bd
97,European,13577.0,31217265.0,Sliz E,Interferon gamma-induced protein 10 levels,initial,2019-06-19,GCST008199,Other measurement,#3288bd
98,European,13577.0,31217265.0,Sliz E,Interleukin-8 levels,initial,2019-06-19,GCST008197,Other measurement,#3288bd
99,European,13577.0,31217265.0,Sliz E,Interleukin-6 levels,initial,2019-06-19,GCST008200,Inflammatory measurement,#3288bd
100,European,13577.0,31217265.0,Sliz E,Interleukin-4 levels,initial,2019-06-19,GCST008201,Other measurement,#3288bd
101,European,13577.0,31217265.0,Sliz E,Interleukin-1-receptor antagonist levels,initial,2019-06-19,GCST008203,Inflammatory measurement,#3288bd
102,European,13577.0,31217265.0,Sliz E,Interleukin-1-beta levels,initial,2019-06-19,GCST008209,Inflammatory measurement,#3288bd
103,European,13577.0,31217265.0,Sliz E,Monocyte chemoattractant protein-1 levels,initial,2019-06-19,GCST008204,Other measurement,#3288bd
104,European,13577.0,31217265.0,Sliz E,Interleukin-17 levels,initial,2019-06-19,GCST008205,Other measurement,#3288bd
105,European,13577.0,31217265.0,Sliz E,Vascular endothelial growth factor levels,initial,2019-06-19,GCST008198,Cardiovascular measurement,#3288bd
106,European,5284.0,31217265.0,Sliz E,Plasminogen activator inhibitor-1 (PAI-1) levels,initial,2019-06-19,GCST008206,Other measurement,#3288bd
107,European,5284.0,31217265.0,Sliz E,Soluble CD40 ligand levels,initial,2019-06-19,GCST008208,Inflammatory measurement,#3288bd
108,European,5284.0,31217265.0,Sliz E,Interleukin-1-alpha levels,initial,2019-06-19,GCST008207,Other measurement,#3288bd
109,European,5284.0,31217265.0,Sliz E,Soluble ICAM-1,initial,2019-06-19,GCST008210,Cardiovascular measurement,#3288bd
110,European,5284.0,31217265.0,Sliz E,Soluble E-selectin levels,initial,2019-06-19,GCST008202,Inflammatory measurement,#3288bd
112,Other/Mixed,574.0,31217584.0,Wojcik GL,C-reactive protein levels,initial,2019-06-19,GCST008055,Inflammatory measurement,#99d594
113,Other/Mixed,1777.0,31217584.0,Wojcik GL,C-reactive protein levels,initial,2019-06-19,GCST008055,Inflammatory measurement,#99d594
114,Asian,1811.0,31217584.0,Wojcik GL,C-reactive protein levels,initial,2019-06-19,GCST008055,Inflammatory measurement,#d53e4f
115,African Am./Caribbean,8349.0,31217584.0,Wojcik GL,C-reactive protein levels,initial,2019-06-19,GCST008055,Inflammatory measurement,#fee08b
116,Hispanic/Latin American,15912.0,31217584.0,Wojcik GL,C-reactive protein levels,initial,2019-06-19,GCST008055,Inflammatory measurement,#807dba
117,Other/Mixed,226.0,31217584.0,Wojcik GL,QRS duration,initial,2019-06-19,GCST008054,Cardiovascular measurement,#99d594
118,African Am./Caribbean,3274.0,31217584.0,Wojcik GL,QRS duration,initial,2019-06-19,GCST008054,Cardiovascular measurement,#fee08b
119,Hispanic/Latin American,13420.0,31217584.0,Wojcik GL,QRS duration,initial,2019-06-19,GCST008054,Cardiovascular measurement,#807dba
120,Asian,126.0,31217584.0,Wojcik GL,QRS duration,initial,2019-06-19,GCST008054,Cardiovascular measurement,#d53e4f
121,European,253288.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008041,Body measurement,#3288bd
123,Other/Mixed,647.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008041,Body measurement,#99d594
124,Other/Mixed,3939.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008041,Body measurement,#99d594
125,Asian,4680.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008041,Body measurement,#d53e4f
126,African Am./Caribbean,17286.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008041,Body measurement,#fee08b
127,Hispanic/Latin American,22192.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008041,Body measurement,#807dba
128,European,303288.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008040,Body measurement,#3288bd
130,Other/Mixed,647.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008053,Body measurement,#99d594
131,Other/Mixed,3939.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008053,Body measurement,#99d594
132,Asian,4680.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008053,Body measurement,#d53e4f
133,Hispanic/Latin American,22192.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008053,Body measurement,#807dba
134,African Am./Caribbean,17286.0,31217584.0,Wojcik GL,Height,initial,2019-06-19,GCST008053,Body measurement,#fee08b
135,Other/Mixed,585.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008052,Body measurement,#99d594
136,Other/Mixed,3061.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008052,Body measurement,#99d594
137,Asian,3500.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008052,Body measurement,#d53e4f
138,African Am./Caribbean,10286.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008052,Body measurement,#fee08b
139,Hispanic/Latin American,16472.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008052,Body measurement,#807dba
140,Other/Mixed,1346.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008051,Body measurement,#99d594
141,Asian,1657.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008051,Body measurement,#d53e4f
142,Hispanic/Latin American,4917.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008051,Body measurement,#807dba
143,African Am./Caribbean,1146.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008051,Body measurement,#fee08b
144,Other/Mixed,585.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008050,Body measurement,#99d594
145,Other/Mixed,1715.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008050,Body measurement,#99d594
146,Asian,1843.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008050,Body measurement,#d53e4f
147,African Am./Caribbean,9140.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008050,Body measurement,#fee08b
148,Hispanic/Latin American,11555.0,31217584.0,Wojcik GL,Waist-hip ratio,initial,2019-06-19,GCST008050,Body measurement,#807dba
149,African Am./Caribbean,8825.0,31217584.0,Wojcik GL,White blood cell count,initial,2019-06-19,GCST008049,Hematological measurement,#fee08b
150,Hispanic/Latin American,18251.0,31217584.0,Wojcik GL,White blood cell count,initial,2019-06-19,GCST008049,Hematological measurement,#807dba
151,Asian,543.0,31217584.0,Wojcik GL,White blood cell count,initial,2019-06-19,GCST008049,Hematological measurement,#d53e4f
153,Other/Mixed,606.0,31217584.0,Wojcik GL,White blood cell count,initial,2019-06-19,GCST008049,Hematological measurement,#99d594
155,Other/Mixed,3551.0,31217584.0,Wojcik GL,Type 2 diabetes,initial,2019-06-19,GCST008048,Metabolic disorder,#99d594
156,Asian,4576.0,31217584.0,Wojcik GL,Type 2 diabetes,initial,2019-06-19,GCST008048,Metabolic disorder,#d53e4f
157,African Am./Caribbean,15601.0,31217584.0,Wojcik GL,Type 2 diabetes,initial,2019-06-19,GCST008048,Metabolic disorder,#fee08b
158,Hispanic/Latin American,20480.0,31217584.0,Wojcik GL,Type 2 diabetes,initial,2019-06-19,GCST008048,Metabolic disorder,#807dba
159,Other/Mixed,619.0,31217584.0,Wojcik GL,Type 2 diabetes,initial,2019-06-19,GCST008048,Metabolic disorder,#99d594
160,Asian,2381.0,31217584.0,Wojcik GL,Triglyceride levels,initial,2019-06-19,GCST008046,Lipid or lipoprotein measurement,#d53e4f
162,Other/Mixed,604.0,31217584.0,Wojcik GL,Triglyceride levels,initial,2019-06-19,GCST008046,Lipid or lipoprotein measurement,#99d594
163,African Am./Caribbean,9980.0,31217584.0,Wojcik GL,Triglyceride levels,initial,2019-06-19,GCST008046,Lipid or lipoprotein measurement,#fee08b
164,Hispanic/Latin American,17856.0,31217584.0,Wojcik GL,Triglyceride levels,initial,2019-06-19,GCST008046,Lipid or lipoprotein measurement,#807dba
165,Other/Mixed,1915.0,31217584.0,Wojcik GL,Triglyceride levels,initial,2019-06-19,GCST008046,Lipid or lipoprotein measurement,#99d594
167,Other/Mixed,604.0,31217584.0,Wojcik GL,Total cholesterol levels,initial,2019-06-19,GCST008045,Lipid or lipoprotein measurement,#99d594
168,Other/Mixed,1915.0,31217584.0,Wojcik GL,Total cholesterol levels,initial,2019-06-19,GCST008045,Lipid or lipoprotein measurement,#99d594
169,Asian,2387.0,31217584.0,Wojcik GL,Total cholesterol levels,initial,2019-06-19,GCST008045,Lipid or lipoprotein measurement,#d53e4f
170,African Am./Caribbean,10137.0,31217584.0,Wojcik GL,Total cholesterol levels,initial,2019-06-19,GCST008045,Lipid or lipoprotein measurement,#fee08b
171,Hispanic/Latin American,17802.0,31217584.0,Wojcik GL,Total cholesterol levels,initial,2019-06-19,GCST008045,Lipid or lipoprotein measurement,#807dba
173,Hispanic/Latin American,21549.0,31217584.0,Wojcik GL,Systolic blood pressure,initial,2019-06-19,GCST008044,Other measurement,#807dba
174,African Am./Caribbean,11380.0,31217584.0,Wojcik GL,Systolic blood pressure,initial,2019-06-19,GCST008044,Other measurement,#fee08b
175,Other/Mixed,636.0,31217584.0,Wojcik GL,Systolic blood pressure,initial,2019-06-19,GCST008044,Other measurement,#99d594
176,Asian,1086.0,31217584.0,Wojcik GL,Systolic blood pressure,initial,2019-06-19,GCST008044,Other measurement,#d53e4f
177,Other/Mixed,230.0,31217584.0,Wojcik GL,QT interval,initial,2019-06-19,GCST008043,Cardiovascular measurement,#99d594
178,Asian,127.0,31217584.0,Wojcik GL,QT interval,initial,2019-06-19,GCST008043,Cardiovascular measurement,#d53e4f
179,African Am./Caribbean,3293.0,31217584.0,Wojcik GL,QT interval,initial,2019-06-19,GCST008043,Cardiovascular measurement,#fee08b
180,Hispanic/Latin American,13698.0,31217584.0,Wojcik GL,QT interval,initial,2019-06-19,GCST008043,Cardiovascular measurement,#807dba
181,Other/Mixed,231.0,31217584.0,Wojcik GL,PR interval,initial,2019-06-19,GCST008042,Cardiovascular measurement,#99d594
182,Asian,129.0,31217584.0,Wojcik GL,PR interval,initial,2019-06-19,GCST008042,Cardiovascular measurement,#d53e4f
183,African Am./Caribbean,3360.0,31217584.0,Wojcik GL,PR interval,initial,2019-06-19,GCST008042,Cardiovascular measurement,#fee08b
184,Hispanic/Latin American,13702.0,31217584.0,Wojcik GL,PR interval,initial,2019-06-19,GCST008042,Cardiovascular measurement,#807dba
186,Other/Mixed,603.0,31217584.0,Wojcik GL,Platelet count,initial,2019-06-19,GCST008039,Hematological measurement,#99d594
187,Asian,541.0,31217584.0,Wojcik GL,Platelet count,initial,2019-06-19,GCST008039,Hematological measurement,#d53e4f
188,African Am./Caribbean,8850.0,31217584.0,Wojcik GL,Platelet count,initial,2019-06-19,GCST008039,Hematological measurement,#fee08b
189,Hispanic/Latin American,18949.0,31217584.0,Wojcik GL,Platelet count,initial,2019-06-19,GCST008039,Hematological measurement,#807dba
190,Other/Mixed,20.0,31217584.0,Wojcik GL,Mean corpuscular hemoglobin concentration,initial,2019-06-19,GCST008038,Hematological measurement,#99d594
191,Asian,128.0,31217584.0,Wojcik GL,Mean corpuscular hemoglobin concentration,initial,2019-06-19,GCST008038,Hematological measurement,#d53e4f
192,African Am./Caribbean,3750.0,31217584.0,Wojcik GL,Mean corpuscular hemoglobin concentration,initial,2019-06-19,GCST008038,Hematological measurement,#fee08b
193,Hispanic/Latin American,15522.0,31217584.0,Wojcik GL,Mean corpuscular hemoglobin concentration,initial,2019-06-19,GCST008038,Hematological measurement,#807dba
195,Hispanic/Latin American,17373.0,31217584.0,Wojcik GL,Low density lipoprotein cholesterol levels,initial,2019-06-19,GCST008037,Lipid or lipoprotein measurement,#807dba
196,African Am./Caribbean,9720.0,31217584.0,Wojcik GL,Low density lipoprotein cholesterol levels,initial,2019-06-19,GCST008037,Lipid or lipoprotein measurement,#fee08b
197,Asian,2316.0,31217584.0,Wojcik GL,Low density lipoprotein cholesterol levels,initial,2019-06-19,GCST008037,Lipid or lipoprotein measurement,#d53e4f
198,Other/Mixed,591.0,31217584.0,Wojcik GL,Low density lipoprotein cholesterol levels,initial,2019-06-19,GCST008037,Lipid or lipoprotein measurement,#99d594
199,Other/Mixed,1900.0,31217584.0,Wojcik GL,Low density lipoprotein cholesterol levels,initial,2019-06-19,GCST008037,Lipid or lipoprotein measurement,#99d594
202,Other/Mixed,635.0,31217584.0,Wojcik GL,Hypertension,initial,2019-06-19,GCST008036,Cardiovascular disease,#99d594
203,Other/Mixed,3705.0,31217584.0,Wojcik GL,Hypertension,initial,2019-06-19,GCST008036,Cardiovascular disease,#99d594
204,Asian,4663.0,31217584.0,Wojcik GL,Hypertension,initial,2019-06-19,GCST008036,Cardiovascular disease,#d53e4f
205,African Am./Caribbean,17152.0,31217584.0,Wojcik GL,Hypertension,initial,2019-06-19,GCST008036,Cardiovascular disease,#fee08b
206,Hispanic/Latin American,21936.0,31217584.0,Wojcik GL,Hypertension,initial,2019-06-19,GCST008036,Cardiovascular disease,#807dba
208,Other/Mixed,1912.0,31217584.0,Wojcik GL,High density lipoprotein cholesterol levels,initial,2019-06-19,GCST008035,Lipid or lipoprotein measurement,#99d594
209,Asian,2378.0,31217584.0,Wojcik GL,High density lipoprotein cholesterol levels,initial,2019-06-19,GCST008035,Lipid or lipoprotein measurement,#d53e4f
