STUDY ACCESSION,Cleaned_Ancestry,Cleaned_Ancestry_Size
GCST007946,European,11473
GCST007880,European,563
GCST007838,European,19112
GCST007836,European,30118
GCST007837,European,11006
GCST007881,European,720
GCST007881,European,6490
GCST007845,European,283
GCST007845,European,4472
GCST008114,African,2633
GCST008114,African,1714
GCST008115,European,14879
GCST008115,European,31358
GCST007997,European,493
GCST007997,European,537
GCST008103,European,20352
GCST008103,European,31358
GCST008117,European,977
GCST008117,European,31358
GCST008116,European,3421
GCST008116,European,31358
GCST007993,British,21564
GCST007993,British,318237
GCST007996,British,9876
GCST007996,British,318237
GCST007994,British,37846
GCST007995,British,9433
GCST007995,British,318237
GCST007948,Japanese,4
GCST007948,Japanese,415
GCST008106,European,161
GCST008106,European,152
GCST007876,European,206856
GCST007876,East Asian,143658
GCST007879,European,2044
GCST007879,European,65575
GCST007878,European,20700
GCST007877,European,69591
GCST007944,European,5215
GCST007944,European,95653
GCST007943,European,13984
GCST007943,European,137652
GCST007942,European,17352
GCST007942,European,188348
GCST007941,European,28880
GCST007941,European,147565
GCST007940,European,33757
GCST007940,European,270405
GCST007939,European,5521
GCST007939,European,114323
GCST007938,European,83218
GCST007938,European,96592
GCST007937,European,61583
GCST007937,European,50427
GCST007936,European,22982
GCST007936,European,55826
GCST007935,European,7870
GCST007935,European,207798
GCST007934,European,74150
GCST007934,European,90370
GCST007933,European,3954
GCST007933,European,268648
GCST007932,European,24832
GCST007932,European,280750
GCST007931,European,73475
GCST007931,European,216910
GCST007930,European,62752
GCST007930,European,174778
GCST007929,European,31904
GCST007929,European,172474
GCST007927,European,31700
GCST007927,European,192324
GCST007928,European,34453
GCST007928,European,194633
GCST007926,European,6431
GCST007926,European,145949
GCST007925,European,5546
GCST007925,European,237113
GCST007924,European,67653
GCST007924,European,85986
GCST007923,European,15272
GCST007923,European,290641
GCST007922,European,53137
GCST007922,European,79230
GCST008097,European,50
GCST008097,Chilean,1
GCST008097,European,4891
GCST008098,European,50
GCST008098,Chilean,1
GCST008098,European,324
GCST008057,British,10861
GCST008057,British,397594
GCST007862,African American,441
GCST007863,Hispanic American,883
GCST007863,African American,441
GCST007864,Hispanic American,883
GCST007864,African American,441
GCST007865,Hispanic American,883
GCST007865,African American,441
GCST007860,Hispanic American,883
GCST007860,African American,441
GCST007859,Hispanic American,883
GCST007859,African American,441
GCST007861,Hispanic American,883
GCST007832,Tiwi Islander,249
GCST007592,British,31856
GCST007592,British,299181
GCST007593,British,5324
GCST007593,British,325713
GCST007594,British,293857
GCST007594,British,37180
GCST007833,Japanese,11130
GCST007833,Japanese,187639
GCST007846,British,131686
GCST007725,Japanese,121745
GCST007733,Japanese,121745
GCST007733,European,88461
GCST007734,Korean,281
GCST007734,Korean,3336
GCST007796,European,154
GCST007796,European,608
GCST007808,European,84757
GCST007807,European,84810
GCST007806,European,85670
GCST007805,European,85205
GCST007804,European,84810
GCST007803,European,84810
GCST007802,European,84441
GCST007801,European,85449
GCST007731,East Asian,367
GCST007819,European,3921
GCST007820,European,2062
GCST007821,European,1792
GCST007822,European,2062
GCST007823,European,1792
GCST007817,European,3928
GCST007840,Korean,2873
GCST007840,Korean,5966
GCST007844,Turkish,921
GCST007844,Turkish,907
GCST007844,Iranian,422
GCST007844,Iranian,754
GCST007818,European,3928
GCST007816,European,8736
GCST007816,East Asian,1541
GCST007816,Hispanic,445
GCST007816,African American,847
GCST007609,European,458969
GCST007656,European,12550
GCST007656,European,46368
GCST007656,European,458969
GCST007613,European,12550
GCST007613,European,46368
GCST007613,European,40585
GCST007613,European,406111
GCST007612,European,12550
GCST007612,European,60801
GCST007612,European,169872
GCST007611,European,12550
GCST007611,European,46368
GCST007611,European,144793
GCST007611,European,313761
GCST007610,European,144793
GCST007610,European,313761
GCST007686,European,2989
GCST007851,European,405
GCST007831,European,405
GCST007830,European,405
GCST007685,European,2989
GCST007684,European,2989
GCST007800,European,13962
GCST007800,European,300671
GCST007797,European,13962
GCST007797,European,14873
GCST007798,European,40544
GCST007798,European,300671
GCST007711,Korean,100
GCST007711,Korean,300
GCST008096,Egyptian,215
GCST008096,Egyptian,416
GCST007799,European,26582
GCST007799,European,300671
GCST007689,Indian,1036
GCST007688,Indian,1036
GCST007702,Indian,1036
GCST007701,Indian,1036
GCST007687,Chinese,874
GCST007687,Chinese,2543
GCST007742,South Asian,329
GCST007743,South Asian,329
GCST007741,South Asian,329
GCST007740,South Asian,329
GCST007739,South Asian,720
GCST007728,East Asian,3238
GCST007728,East Asian,4083
GCST007677,European,1758
GCST007679,European,1758
GCST007678,European,1758
GCST007643,European,294
GCST007708,British,270059
GCST007709,British,270059
GCST007710,British,270059
GCST007718,European,218759
GCST007719,European,217634
GCST007717,European,217996
GCST007778,European,218450
GCST007721,European,218435
GCST007737,Han Chinese,211
GCST007737,Han Chinese,711
GCST007736,Han Chinese,350
GCST007736,Han Chinese,562
GCST007690,European,369
GCST007713,European,1016
GCST007713,European,4145
GCST007900,Taiwanese,2197
GCST007681,Croatian,626
GCST007681,Korkulan,509
GCST007682,Croatian,596
GCST007682,Korkulan,510
GCST007561,European,446118
GCST007560,European,34184
GCST007560,European,305742
GCST007683,Croatian,629
GCST007683,Korkulan,510
GCST007559,European,106192
GCST007559,European,305742
GCST007638,European,80003
GCST007839,British,47079
GCST007839,British,414027
GCST007581,European,12312
GCST007581,European,389344
GCST007587,European,19099
GCST007587,European,34194
GCST007587,European,24704
GCST007584,European,19099
GCST007584,European,34194
GCST007584,European,11694
GCST007585,European,19099
GCST007585,European,34194
GCST007585,European,11640
GCST007588,European,19099
GCST007588,European,34194
GCST007588,European,11757
GCST007582,European,19099
GCST007582,European,34194
GCST007582,European,11646
GCST007586,European,19099
GCST007586,European,34194
GCST007586,European,24024
GCST007589,European,24024
GCST007590,European,24704
GCST007591,European,19099
GCST007591,European,34194
GCST007591,European,11772
GCST007583,European,19099
GCST007583,European,34194
GCST007583,European,11709
GCST007650,East Asian,367
GCST007427,Croatian,623
GCST007426,Croatian,623
GCST007277,European,4271
GCST007277,European,548
GCST007277,European,9488
GCST007428,Croatian,1121
GCST007511,European,21982
GCST007511,European,41944
GCST007644,European,4475
GCST007645,European,5935
GCST007646,European,2298
GCST007647,European,2298
GCST007648,European,2921
GCST007649,European,2921
GCST007367,European,1115
GCST007367,European,5655
GCST007495,European,499
GCST007536,European,13312
GCST007537,European,994
GCST007537,European,835
GCST007825,European,54162
GCST007825,European,58047
GCST007827,European,54162
GCST007827,European,60812
GCST007826,European,54162
GCST007826,European,51750
GCST007985,European,359916
GCST007984,European,386548
GCST007986,European,385949
GCST007982,European,384317
GCST007983,European,434835
GCST007554,European,18381
GCST007554,European,27969
GCST007555,European,18381
GCST007555,European,27969
GCST007553,European,18381
GCST007553,European,27969
GCST007388,European,129270
GCST007388,European,108357
GCST007987,European,386577
GCST007499,European,562
GCST007499,European,701
GCST007498,European,1360
GCST007430,European,321047
GCST007431,European,321047
GCST007432,European,321047
GCST007354,Korean,250
GCST007354,Korean,296
GCST007387,European,345022
GCST007387,European,108357
GCST007556,European,18381
GCST007556,European,27969
GCST007988,European,651923
GCST007988,European,679087
GCST007429,European,321047
GCST007497,European,662
GCST007672,European and Rankin,1832
GCST007672,European and Rankin,2620
GCST007676,European and Rankin,3830
GCST007676,European and Rankin,2335
GCST007675,European,3991
GCST007674,European,992
GCST007673,European,6165
GCST007477,European,7697
GCST007477,European,88964
GCST007475,European,4116
GCST007475,European,60055
GCST007476,European,2125
GCST007476,European,14047
GCST007266,African American Afro Caribbean,4235
GCST007266,African American Afro Caribbean,5283
GCST007266,Hispanic,2774
GCST007266,Hispanic,2362
GCST007616,Taiwanese,7742
GCST007484,European,288492
GCST007484,African American,15687
GCST007484,South Asian,29315
GCST007484,East Asian,6800
GCST007484,Hispanic,4075
GCST007503,European,157516
GCST007502,European,157516
GCST007496,European,130976
GCST007494,European,130976
GCST007491,European,288492
GCST007483,European,288492
GCST007483,African American,15687
GCST007483,South Asian,29315
GCST007483,East Asian,6800
GCST007483,Hispanic,4075
GCST007487,European,288492
GCST007538,East Asian,74
GCST007280,European,8962
GCST007280,European,409591
GCST007469,European,2563
GCST007470,European,2563
GCST007479,European,3468
GCST007465,European,3093
GCST007466,European,3468
GCST007467,European,3399
GCST007478,European,3409
GCST007471,European,2591
GCST007473,European,2562
GCST007434,European,379
GCST007824,European,992
GCST007824,European,2910
GCST007391,British,100234
GCST007389,British,122808
GCST007390,British,108090
GCST007842,Han Chinese,992
GCST007842,Han Chinese,1008
GCST007413,European,4919
GCST007412,European,4919
GCST007411,European,4919
GCST007410,European,4919
GCST007409,European,103976
GCST007408,European,103976
GCST007630,European,22572
GCST007629,European,21786
GCST007628,European,21806
GCST007627,European,21876
GCST007626,European,22861
GCST007625,European,22795
GCST007624,European,22738
GCST007623,European,22774
GCST007622,European,21495
GCST007440,Korean,6949
GCST007439,Korean,6949
GCST007441,Korean,6949
GCST007438,Korean,6949
GCST007442,Korean,6949
GCST007437,Korean,6949
GCST007847,Japanese,36614
GCST007847,Japanese,155150
GCST007407,European,103976
GCST007342,European,118811
GCST007342,European,327427
GCST007621,European,22745
GCST007549,European,1096
GCST007549,European,2418
GCST007550,European,1096
GCST007356,European,3452
GCST007355,European,250
GCST007355,European,3202
GCST007297,Japanese,3981
GCST007297,Japaneses,6349
GCST007399,European,5461
GCST007304,European,183
GCST007304,European,147
GCST007398,European,3405
GCST007396,European,3405
GCST007395,European,5461
GCST007394,European,2102
GCST007393,European,3647
GCST007779,European,41
GCST007779,European,4891
GCST007406,British,300447
GCST008070,European,89893
GCST008070,African American,20989
GCST008070,Asian,12450
GCST008071,European,44831
GCST008071,African American,3976
GCST008071,Asian,1288
GCST008071,Hispanic,827
GCST008071,European,11674
GCST008071,African American,5894
GCST008071,Asian,1203
GCST008071,Hispanic,1701
GCST008072,European,44831
GCST008072,African American,3976
GCST008072,Asian,1288
GCST008072,Hispanic,827
GCST008072,European,11674
GCST008072,African American,5894
GCST008072,Asian,1203
GCST008072,Hispanic,1701
GCST008073,European,44831
GCST008073,African American,3976
GCST008073,Asian,1288
GCST008073,Hispanic,827
GCST008073,European,11674
GCST008073,African American,5894
GCST008073,Asian,1203
GCST008073,Hispanic,1701
GCST008074,European,44831
GCST008074,African American,3976
GCST008074,Asian,1288
GCST008074,Hispanic,827
GCST008074,European,11674
GCST008074,African American,5894
GCST008074,Asian,1203
GCST008074,Hispanic,1701
GCST008075,European,44831
GCST008075,African American,3976
GCST008075,Asian,1288
GCST008075,Hispanic,827
GCST008075,European,11674
GCST008075,African American,5894
GCST008075,Asian,1203
GCST008075,Hispanic,1701
GCST008076,European,89893
GCST008076,African American,20989
GCST008076,Asian,12450
GCST008077,European,89893
GCST008077,African American,20989
GCST008077,Asian,12450
GCST008078,European,44831
GCST008078,African American,3976
GCST008078,Asian,1288
GCST008078,Hispanic,827
GCST008078,European,11674
GCST008078,African American,5894
GCST008078,Asian,1203
GCST008078,Hispanic,1701
GCST007637,European,2584
GCST007637,European,3002
GCST007637,African American,343
GCST007637,African American,1006
GCST008079,European,56505
GCST008079,African American,9870
GCST008079,Asian,2491
GCST008079,Hispanic,2528
GCST008079,European,33388
GCST008079,African American,11119
GCST008079,Asian,9959
GCST008079,Hispanic,1466
GCST007100,Hispanic/Latino,854
GCST007100,African American,493
GCST007576,European,449734
GCST007565,European,252287
GCST007565,European,150908
GCST008080,European,56505
GCST008080,African American,9870
GCST008080,Asian,2491
GCST008080,Hispanic,2528
GCST008080,European,33388
GCST008080,African American,11119
GCST008080,Asian,9959
GCST008080,Hispanic,1466
GCST008081,European,56505
GCST008081,African American,9870
GCST008081,Asian,2491
GCST008081,Hispanic,2528
GCST008081,European,33388
GCST008081,African American,11119
GCST008081,Asian,9959
GCST008081,Hispanic,1466
GCST008082,European,56505
GCST008082,African American,9870
GCST008082,Asian,2491
GCST008082,Hispanic,2528
GCST008082,European,33388
GCST008082,African American,11119
GCST008082,Asian,9959
GCST008082,Hispanic,1466
GCST008083,European,56505
GCST008083,African American,9870
GCST008083,Asian,2491
GCST008083,Hispanic,2528
GCST008083,European,33388
GCST008083,African American,11119
GCST008083,Asian,9959
GCST008083,Hispanic,1466
GCST008084,European,56505
GCST008084,African American,9870
GCST008084,Asian,2491
GCST008084,Hispanic,2528
GCST008084,European,33388
GCST008084,African American,11119
GCST008084,Asian,9959
GCST008084,Hispanic,1466
GCST008087,European,56505
GCST008087,African American,9870
GCST008087,Asian,2491
GCST008087,Hispanic,2528
GCST008085,European,56505
GCST008085,African American,9870
GCST008085,Asian,2491
GCST008085,Hispanic,2528
GCST008086,European,56505
GCST008086,African American,9870
GCST008086,Asian,2491
GCST008086,Hispanic,2528
GCST007050,Chilean Latino,529
GCST007050,Chilean Latino,566
GCST007777,Danish,46008
GCST007777,Danish,19526
GCST007217,Rucphen,2006
GCST007217,European,26692
GCST007218,Rucphen,2332
GCST007218,European,24462
GCST007227,Rucphen,2177
GCST007227,European,23332
GCST007226,Rucphen,2370
GCST007226,European,29325
GCST007242,European,1471
GCST007242,European,6460
GCST007241,British,1456
GCST007241,European,6460
GCST007240,British,1456
GCST007240,European,1471
GCST007112,European,1467
GCST007112,European,19156
GCST007605,Finnish,4622
GCST007111,European,704
GCST007111,European,9031
GCST007282,African American,7395
GCST007282,African American,13092
GCST007282,Asian,2753
GCST007282,Asian,3650
GCST007282,European,22963
GCST007282,European,61939
GCST007282,Hispanic or Latin American,2829
GCST007282,Hispanic or Latin American,6358
GCST007285,African American,7294
GCST007285,African American,12832
GCST007285,Asian,1352
GCST007285,Asian,3049
GCST007285,European,20622
GCST007285,European,51480
GCST007285,Hispanic or Latin American,2166
GCST007285,Hispanic or Latin American,3486
GCST007281,African American,7395
GCST007281,African American,13092
GCST007281,Asian,2753
GCST007281,Asian,3650
GCST007281,European,22963
GCST007281,European,61939
GCST007281,Hispanic or Latin American,2829
GCST007281,Hispanic or Latin American,6358
GCST007283,African American,7260
GCST007283,African American,12761
GCST007283,Asian,2740
GCST007283,Asian,3615
GCST007283,European,22378
GCST007283,European,55310
GCST007283,Hispanic or Latin American,2163
GCST007283,Hispanic or Latin American,3461
GCST007286,African American,7294
GCST007286,African American,12832
GCST007286,Asian,1352
GCST007286,Asian,3049
GCST007286,European,20622
GCST007286,European,51480
GCST007286,Hispanic or Latin American,2166
GCST007286,Hispanic or Latin American,3486
GCST007284,African American,7260
GCST007284,African American,12761
GCST007284,Asian,2740
GCST007284,Asian,3615
GCST007284,European,22378
GCST007284,European,55310
GCST007284,Hispanic or Latin American,2163
GCST007284,Hispanic or Latin American,3461
GCST007293,British,55006
GCST007293,British,61132
GCST007451,Latin American,6236
GCST007456,Latin American,6236
GCST007294,British,55006
GCST007294,British,61132
GCST007295,British,55006
GCST007295,British,61132
GCST007455,Latin American,6236
GCST007454,Latin American,6236
GCST007453,Latin American,6236
GCST007457,Latin American,6236
GCST007093,European,77052
GCST007093,European,378169
GCST007092,European,39427
GCST007092,European,378169
GCST007091,European,15704
GCST007091,European,378169
GCST007090,European,24955
GCST007090,European,378169
GCST007452,Latin American,6236
GCST007606,European,197
GCST007606,European,6835
GCST007607,European,15
GCST007607,European,10588
GCST007608,European,6
GCST007608,European,10588
GCST008105,European,31964
GCST008105,European,419135
GCST007382,Japanese,1338
GCST007232,South African,242
GCST007232,South African,168
GCST007232,South African,223
GCST007232,South African,182
GCST007385,Japanese,1338
GCST008107,European,244
GCST008107,European,901
GCST008107,African American,9
GCST008107,African American,46
GCST007386,Japanese,1338
GCST007521,Korean,228
GCST007521,Korean,5915
GCST007279,European,14689
GCST007305,European,8429
GCST007305,European,2797
GCST007843,European,868
GCST007843,European,1194
GCST007384,Japanese,1338
GCST007520,Korean,228
GCST007520,Korean,731
GCST007519,Korean,731
GCST007519,Korean,5915
GCST007231,South African,242
GCST007231,South African,168
GCST007231,South African,223
GCST007231,South African,182
GCST007774,European,1806
GCST007774,African American,133
GCST007774,Hispanic,109
GCST007774,European,10397
GCST007774,African American,1314
GCST007774,Hispanic,718
GCST007383,Japanese,1338
GCST007814,European,1252
GCST007813,European,468
GCST007812,European,170
GCST007812,European,127
GCST007811,European,331
GCST007811,European,700
GCST007810,European,61
GCST007810,European,804
GCST007809,European,448
GCST007809,European,804
GCST007019,European,2439
GCST007019,African American,3881
GCST007729,European,1715
GCST007729,African American,187
GCST007729,Hispanic,56
GCST007729,Chinese,23
GCST007729,Malay,40
GCST007729,European,13749
GCST007729,African American,807
GCST007729,Hispanic,643
GCST007729,Chinese,173
GCST007729,Malay,168
GCST007664,European,634
GCST007664,African,40
GCST007664,Asian,13
GCST007357,European,1721
GCST007730,European,3149
GCST007730,African American,402
GCST007730,Hispanic,94
GCST007730,Chinese,34
GCST007730,Malay,47
GCST007730,European,14807
GCST007730,African American,1432
GCST007730,Hispanic,643
GCST007730,Chinese,173
GCST007730,Malay,168
GCST006987,Sub Saharan African,552
GCST007324,European,557923
GCST007288,Han Chinese,1764
GCST007288,Han Chinese,14779
GCST007472,European,1039210
GCST007468,European,1359002
GCST007464,European,820192
GCST007463,European,403928
GCST007462,European,931815
GCST007461,European,941280
GCST007474,European,1232091
GCST007460,European,547219
GCST007459,European,377334
GCST007458,European,341427
GCST007363,European,3344
GCST007443,European,86
GCST007443,European,4280
GCST007443,European,13941
GCST007443,European,700740
GCST007036,Japanese,1855
GCST007036,Japanese,1719
GCST007401,European,20014
GCST007401,African American,3420
GCST006985,Latina,2385
GCST006985,Latina,6416
GCST007341,European,2083151
GCST007322,European,939908
GCST007287,Han Chinese,1764
GCST007287,Han Chinese,14779
GCST007323,European,315894
GCST007325,European,975353
GCST007340,European,1067913
GCST007339,European,523783
GCST007338,European,410603
GCST007337,European,80852
GCST007402,European,24075
GCST007402,African American,3420
GCST007444,European,251
GCST007444,European,5357
GCST007444,European,13957
GCST007444,European,746129
GCST007326,European,370711
GCST007327,European,518633
GCST007328,European,414343
GCST007329,European,404291
GCST007600,European,952
GCST007600,European,1789
GCST007600,European,6337
GCST007600,European,8402
GCST007254,European,9240
GCST007254,European,9519
GCST007254,European,51258
GCST007254,European,75607
GCST007254,European,231747
GCST007257,European,9240
GCST007257,European,9519
GCST007257,European,51258
GCST007257,European and East Asian,36989
GCST007257,European and East Asian,113075
GCST007255,European,9240
GCST007255,European,9519
GCST007255,European,51258
GCST007255,European,7481
GCST007255,European,9250
GCST007256,European,9240
GCST007256,European,9519
GCST007256,European,51258
GCST007256,Chinese,5303
GCST007256,Chinese,5337
GCST007603,European,324851
GCST007603,South Asian,21962
GCST007604,European and South Asian,121543
GCST007601,European and South Asian,131892
GCST007602,European and South Asian,128746
GCST007320,European,24087
GCST007320,European,47793
GCST007320,European,383378
GCST007321,European,47793
GCST007321,European,328320
GCST007319,European,24087
GCST007319,European,55058
GCST007018,European,188
GCST007018,European,242
GCST006977,European,24546
GCST007017,European  Mediterranean,257
GCST007017,European  Mediterranean,161
GCST007016,European,188
GCST007016,European,242
GCST007782,European and East Asian,35476
GCST007782,European and East Asian,46839
GCST007781,European,20352
GCST007781,European,31358
GCST006983,European,18345
GCST006983,European,14374
GCST006983,European,50410
GCST006978,British,2433
GCST006978,British,334766
GCST007344,European,134070
GCST007344,East Asian,143658
GCST007344,Hispanic or Latino,26344
GCST007344,African American,8224
GCST007726,Ashkenazi Jewish,256
GCST007726,African American,68
GCST007726,Ashkenazi Jewish,534
GCST007726,African American,217
GCST006935,European,1225
GCST006979,British,426824
GCST006980,British,53184
GCST006980,British,373611
GCST007064,European,70700
GCST007064,European,85261
GCST007063,European,70700
GCST007063,European,85261
GCST007955,German,2900
GCST007037,European,455000
GCST007252,European,665
GCST007251,European,665
GCST007087,European,422000
GCST007086,European,344000
GCST007085,European,458000
GCST007084,European,372000
GCST007083,European,410000
GCST007082,European,452000
GCST007081,European,372000
GCST007080,European,370000
GCST007079,European,143000
GCST007078,European,242000
GCST007077,European,459000
GCST007076,European,459000
GCST007073,European,459000
GCST007075,European,459000
GCST007072,European,459000
GCST007071,European,459000
GCST007070,European,444000
GCST007074,European,445000
GCST007069,European,445000
GCST007068,European,443000
GCST007065,European,440000
GCST007067,European,458000
GCST007841,European,458000
GCST007066,European,446000
GCST007039,European,458000
GCST007038,European,208000
GCST007631,European,701
GCST007631,European,1035
GCST007631,African American,445
GCST007631,African American,1756
GCST007631,Hispanic,173
GCST007631,Hispanic,313
GCST007634,Hispanic,173
GCST007634,Hispanic,313
GCST007633,European,701
GCST007633,European,1035
GCST007632,African American,445
GCST007632,African American,1756
GCST007998,Chinese,5571
GCST007260,European,493
GCST007265,Dutch,493
GCST007264,Dutch,493
GCST007263,Dutch,493
GCST007262,Dutch,493
GCST007261,Dutch,493
GCST006956,European,6175
GCST006956,European,217630
GCST007272,European,225112
GCST007272,African,63490
GCST007272,Hispanic,22802
GCST007272,Asian,4792
GCST007272,Native American,2695
GCST007271,European,225112
GCST007271,African,63490
GCST007271,Hispanic,22802
GCST007271,Asian,4792
GCST007271,Native American,2695
GCST007270,European,225112
GCST007270,African,63490
GCST007270,Hispanic,22802
GCST007270,Asian,4792
GCST007270,Native American,2695
GCST007269,European,365998
GCST007269,African,63490
GCST007269,Hispanic,22802
GCST007269,Asian,4792
GCST007269,Native American,2695
GCST007268,European,365998
GCST007268,African,63490
GCST007268,Hispanic,22802
GCST007268,Asian,4792
GCST007268,Native American,2695
GCST007267,European,365998
GCST007267,African,63490
GCST007267,Hispanic,22802
GCST007267,Asian,4792
GCST007267,Native American,2695
GCST007020,European,205327
GCST007278,European,4595
GCST007278,European,3154
GCST007278,European,2281
GCST007278,European,1674
GCST007278,European,19704
GCST007596,European,16274
GCST007596,European,38269
GCST007022,Japanese,2809
GCST007022,Japanese,5592
GCST007597,Hispanic,1320
GCST007597,Hispanic,4007
GCST007598,Asian,1300
GCST007598,Asian,4927
GCST007599,African American,611
GCST007599,African American,1915
GCST007089,European,10074
GCST007089,European,103164
GCST007021,Japanese,2809
GCST007021,Japanese,5592
GCST007448,European,3186
