STUDY ACCESSION,Cleaned_Ancestry,Cleaned_Ancestry_Size
GCST008073,Hispanic,3742
GCST008073,European,36267
GCST008073,African American or Afro Caribbean,1317
GCST008073,Asian,6152
GCST008073,Hispanic,2880
GCST008074,European,71281
GCST008074,African American or Afro Caribbean,711
GCST008074,Asian,35088
GCST008074,Hispanic,3742
GCST008074,European,36267
GCST008074,African American or Afro Caribbean,1317
GCST008074,Asian,6152
GCST008074,Hispanic,2880
GCST008075,European,71281
GCST008075,African American or Afro Caribbean,711
GCST008075,Asian,35088
GCST008075,Hispanic,3742
GCST008075,European,36267
GCST008075,African American or Afro Caribbean,1317
GCST008075,Asian,6152
GCST008075,Hispanic,2880
GCST008076,European,136986
GCST008076,African American or Afro Caribbean,4475
GCST008076,Asian,108431
GCST008076,Hispanic,13714
GCST008076,Brazilian,3652
GCST008077,European,136986
GCST008077,African American or Afro Caribbean,4475
GCST008077,Asian,108431
GCST008077,Hispanic,13714
GCST008077,Brazilian,3652
GCST008078,European,71281
GCST008078,African American or Afro Caribbean,711
GCST008078,Asian,35088
GCST008078,Hispanic,3742
GCST008078,European,36267
GCST008078,African American or Afro Caribbean,1317
GCST008078,Asian,6152
GCST008078,Hispanic,2880
GCST008079,European,107548
GCST008079,African American or Afro Caribbean,2028
GCST008079,Asian,41240
GCST008079,Hispanic,6622
GCST008079,Brazilian,1984
GCST008079,European,29438
GCST008079,African American or Afro Caribbean,2447
GCST008079,Asian,67191
GCST008079,Hispanic,7092
GCST008079,Brazilian,1668
GCST007100,European,1697
GCST007576,European,248098
GCST007565,European,120478
GCST007565,European,127622
GCST008080,European,107548
GCST008080,African American or Afro Caribbean,2028
GCST008080,Asian,41240
GCST008080,Hispanic,6622
GCST008080,Brazilian,1984
GCST008080,European,29438
GCST008080,African American or Afro Caribbean,2447
GCST008080,Asian,67191
GCST008080,Hispanic,7092
GCST008080,Brazilian,1668
GCST008081,European,107548
GCST008081,African American or Afro Caribbean,2028
GCST008081,Asian,41240
GCST008081,Hispanic,6622
GCST008081,Brazilian,1984
GCST008081,European,29438
GCST008081,African American or Afro Caribbean,2447
GCST008081,Asian,67191
GCST008081,Hispanic,7092
GCST008081,Brazilian,1668
GCST008082,European,107548
GCST008082,African American or Afro Caribbean,2028
GCST008082,Asian,41240
GCST008082,Hispanic,6622
GCST008082,Brazilian,1984
GCST008082,European,29438
GCST008082,African American or Afro Caribbean,2447
GCST008082,Asian,67191
GCST008082,Hispanic,7092
GCST008082,Brazilian,1668
GCST008083,European,107548
GCST008083,African American or Afro Caribbean,2028
GCST008083,Asian,41240
GCST008083,Hispanic,6622
GCST008083,Brazilian,1984
GCST008083,European,29438
GCST008083,African American or Afro Caribbean,2447
GCST008083,Asian,67191
GCST008083,Hispanic,7092
GCST008083,Brazilian,1668
GCST008084,European,107548
GCST008084,African American or Afro Caribbean,2028
GCST008084,Asian,41240
GCST008084,Hispanic,6622
GCST008084,Brazilian,1984
GCST008084,European,29438
GCST008084,African American or Afro Caribbean,2447
GCST008084,Asian,67191
GCST008084,Hispanic,7092
GCST008084,Brazilian,1668
GCST008087,European,107548
GCST008087,African American or Afro Caribbean,2028
GCST008087,Asian,41240
GCST008087,Hispanic,6622
GCST008087,Brazilian,1984
GCST008085,European,107548
GCST008085,African American or Afro Caribbean,2028
GCST008085,Asian,41240
GCST008085,Hispanic,6622
GCST008085,Brazilian,1984
GCST008086,European,107548
GCST008086,African American or Afro Caribbean,2028
GCST008086,Asian,41240
GCST008086,Hispanic,6622
GCST008086,Brazilian,1984
GCST007050,Chilean Latino,626
GCST007050,Chilean Latino,1017
GCST007050,European,1909
GCST007050,European,4183
GCST007218,Carlantino,391
GCST007218,Fruili Venezia Giulia,981
GCST007218,European,31225
GCST007218,African American,2048
GCST007227,Carlantino,391
GCST007227,Fruili Venezia Giulia,981
GCST007227,European,30760
GCST007227,African American,2048
GCST007226,Carlantino,391
GCST007226,Fruili Venezia Giulia,981
GCST007226,European,31033
GCST007226,African American,2070
GCST007242,British,3532
GCST007242,British,20720
GCST007241,British,7526
GCST007241,British,20720
GCST007240,British,7526
GCST007240,British,3532
GCST007112,European,977
GCST007112,European,727
GCST007111,European,375
GCST007111,European,1455
GCST007282,African American,1886
GCST007282,African American,1892
GCST007282,South African Black,1217
GCST007282,South African Black,389
GCST007282,East Asian,2494
GCST007282,East Asian,1947
GCST007282,South Asian,724
GCST007282,South Asian,1425
GCST007282,European,41042
GCST007282,European,66575
GCST007282,Hispanic,2619
GCST007282,Hispanic,8802
GCST007285,African American,580
GCST007285,African American,1540
GCST007285,South African Black,1217
GCST007285,South African Black,389
GCST007285,East Asian,765
GCST007285,East Asian,1814
GCST007285,South Asian,724
GCST007285,South Asian,1424
GCST007285,European,32456
GCST007285,European,49510
GCST007285,Hispanic,2619
GCST007285,Hispanic,8803
GCST007281,African American,1886
GCST007281,African American,1892
GCST007281,South African Black,1217
GCST007281,South African Black,389
GCST007281,East Asian,2494
GCST007281,East Asian,1947
GCST007281,South Asian,724
GCST007281,South Asian,1425
GCST007281,European,41042
GCST007281,European,66575
GCST007281,Hispanic,2619
GCST007281,Hispanic,8802
GCST007283,African American,571
GCST007283,African American,1521
GCST007283,South African Black,1217
GCST007283,South African Black,389
GCST007283,East Asian,2495
GCST007283,East Asian,1947
GCST007283,South Asian,724
GCST007283,South Asian,1425
GCST007283,European,33796
GCST007283,European,50812
GCST007283,Hispanic,2578
GCST007283,Hispanic,8661
GCST007286,African American,580
GCST007286,African American,1540
GCST007286,South African Black,1217
GCST007286,South African Black,389
GCST007286,East Asian,765
GCST007286,East Asian,1814
GCST007286,South Asian,724
GCST007286,South Asian,1424
GCST007286,European,32456
GCST007286,European,49510
GCST007286,Hispanic,2619
GCST007286,Hispanic,8803
GCST007284,African American,571
GCST007284,African American,1521
GCST007284,South African Black,1217
GCST007284,South African Black,389
GCST007284,East Asian,2495
GCST007284,East Asian,1947
GCST007284,South Asian,724
GCST007284,South Asian,1425
GCST007284,European,33796
GCST007284,European,50812
GCST007284,Hispanic,2578
GCST007284,Hispanic,8661
GCST007293,British,112425
GCST007293,British,133936
GCST007294,British,112425
GCST007294,British,133936
GCST007295,British,112425
GCST007295,British,133936
GCST008105,European,4611
GCST008105,European,31478
GCST007386,Japanese,665
GCST007305,European,1202
GCST007384,Japanese,665
GCST007774,Icelandic,113
GCST007774,Icelandic,239304
GCST007019,European,9382
GCST007019,African American,1488
GCST007019,Latino,2963
GCST007729,European,630
GCST007729,European,5118
GCST007357,British,6932
GCST007730,European,1223
GCST007730,Japanese,260
GCST007730,European,5118
GCST007730,Japanese,261
GCST007341,European,287239
GCST007322,European,35445
GCST007340,European,228033
GCST007339,European,59206
GCST007603,European,275596
GCST007604,European,275596
GCST007601,European,275596
GCST007602,European,275596
GCST006935,European,1791
GCST006980,European,367900
GCST006980,European,363919
GCST007998,Chinese,2981
GCST007269,European,299024
GCST007268,European,299024
GCST007267,European,299024
GCST007022,Japanese,2115
GCST007022,Japanese,2519
GCST007021,Japanese,2115
GCST007021,Japanese,2519
GCST007700,European,415
GCST007700,European,105
GCST006911,European,5414
GCST006911,European,21471
GCST006976,European,8609
GCST007699,Han Chinese,574
GCST007699,Han Chinese,569
GCST007276,Hispanic,144
GCST007276,Hispanic,441
GCST007276,European,2317
GCST007276,European,2050
GCST007276,African American,227
GCST007276,African American,1380
GCST007210,African American,62
GCST007210,African American,68
GCST006984,Japanese,219
GCST006984,Japanese,3770
GCST007216,Japanese,770
GCST007216,Japanese,852
GCST007703,East Asian,53008
GCST007703,European,105253
GCST007707,East Asian,8809
GCST007707,East Asian,13663
GCST007707,European,105253
GCST007706,East Asian,53008
GCST007706,European,105253
GCST007705,East Asian,53008
GCST007705,Japanese,105253
GCST007704,East Asian,53008
GCST007704,European,105253
GCST007292,East Asian,7178
GCST007292,East Asian,6525
GCST007292,South East Asian,214
GCST007292,South East Asian,557
GCST007292,South Asian,315
GCST007292,South Asian,669
GCST007292,European,8205
GCST007292,European,7713
GCST007292,Hispanic,1470
GCST007292,Hispanic,1240
GCST007291,East Asian,1354
GCST007291,East Asian,1130
GCST007291,European,801
GCST007291,European,2880
GCST007291,Hispanic,232
GCST007291,Hispanic,1048
GCST007290,East Asian,2388
GCST007290,East Asian,6219
GCST007290,European,1658
GCST007290,European,3019
GCST007290,Hispanic,1014
GCST007290,Hispanic,1240
GCST007289,East Asian,918
GCST007289,East Asian,1167
GCST007289,European,2038
GCST007289,European,6783
GCST007289,Hispanic,232
GCST007289,Hispanic,2194
GCST007657,European,637
GCST007657,European,41
GCST007543,Icelandic,5085
GCST007543,Icelandic,131122
GCST007716,European,5248
GCST007651,Sub Saharan African,371
GCST007510,Sub Saharan African,401
GCST007510,African American,121
GCST007510,Sub Saharan African,648
GCST007510,African American,186
GCST007509,Sub Saharan African,100
GCST007509,African American,79
GCST007509,Sub Saharan African,648
GCST007509,African American,186
GCST007619,European,2232
GCST007619,European,140725
GCST007619,Hispanic,2597
GCST007619,Hispanic,9378
GCST006959,East Asian,4873
GCST006959,East Asian,17641
GCST006959,European,19234
GCST006959,European,61654
GCST007715,European,4042
GCST007715,European,8777
GCST007714,European,3282
GCST007714,European,13913
GCST007119,Han Chinese,1461
GCST007119,Han Chinese,3295
GCST007595,European,59
GCST007595,European,607
GCST007595,Icelandic,7267
GCST007595,Icelandic,327134
GCST007595,Dutch,1139
GCST007595,Dutch,4587
GCST007738,Korean,309
GCST007738,Korean,2529
GCST006902,East Asian,2737
GCST006902,East Asian,56815
GCST006902,European,1421
GCST006902,European,1966
GCST007296,Japanese,183
GCST007296,Japanese,2071
GCST006896,European,22383
GCST006899,European,22383
GCST007364,Danish,1522
GCST007364,Danish,18266
GCST007199,Sub Saharan African,1993
GCST007199,African American,2595
GCST007199,Sub Saharan African,1730
GCST007199,African American,2813
GCST006982,European,313
GCST006982,European,564
GCST006777,European,4386
GCST007118,European,2783
GCST007118,South Asian,70
GCST007118,African British,68
GCST007118,East Asian,2
GCST007118,European,206975
GCST007118,South Asian,5234
GCST007118,African British,3566
GCST007118,East Asian,678
GCST007198,European,726
GCST006619,Han Chinese,2116
GCST006619,Han Chinese,3870
GCST006707,Japanese,5336
GCST006707,Japanese,11726
GCST007724,European,1770
GCST007723,European,1770
GCST007722,European,1770
GCST007138,Croatian,303
GCST007138,Croatian,302
GCST007205,Japanese,4071
GCST007205,Japanese,54470
GCST006705,European,1794
GCST006705,Hispanic,633
GCST006705,European,1875
GCST006705,Hispanic,633
GCST007137,African American,40
GCST007137,African American,148
GCST007154,African American,233
GCST007154,African American,4038
GCST007191,Japanese,283
GCST007191,Japanese,433
GCST007152,British,50915
GCST007152,British,232837
GCST007245,European,345
GCST007245,European,1664
GCST006706,Dutch,4411
GCST007107,Japanese,4241
GCST007108,Japanese,4241
GCST007177,Han Chinese,870
GCST007178,Han Chinese,744
GCST007176,Han Chinese,748
GCST007135,European,1946
GCST007135,European,471
GCST007136,European,71
GCST007136,Hispanic,83
GCST007136,European,192
GCST007136,Hispanic,239
GCST008067,Chinese,32
GCST008067,Chinese,604
GCST008068,Chinese,110
GCST008068,Chinese,604
GCST008069,Chinese,146
GCST008069,Chinese,604
GCST007548,European,1504
GCST007548,Black African,296
GCST007548,Afro Caribbean,668
GCST007548,Indian,203
GCST007548,European,20133
GCST007548,Black African,1256
GCST007548,Afro Caribbean,2041
GCST007548,Indian,2567
GCST006629,European,249262
GCST006630,European,249262
GCST006624,European,249262
GCST006486,European,993
GCST006486,European,1419
GCST006491,African,4443
GCST006432,European,1777
GCST006432,European,6088
GCST007360,African American,1615
GCST007360,Latino,416
GCST008102,European,1141
GCST008102,African,546
GCST008099,European,1141
GCST008099,African,546
GCST008100,European,1141
GCST008100,African,546
GCST008101,European,1141
GCST008101,African,546
GCST007151,European,136
GCST006461,South Asian,2764
GCST006461,African Caribbean,3139
GCST006461,European,16169
GCST006461,South Asian,4267
GCST006461,African Caribbean,4341
GCST006461,European,31814
GCST006520,Chinese,49
GCST006520,Chinese,996
GCST006521,Chinese,56
GCST006521,Chinese,996
GCST006615,East Asian or Asian,72
GCST007485,British,336107
GCST007490,British,336107
GCST006423,European,147200
GCST006423,European,150085
GCST006401,European,4751
GCST006401,European,35582
GCST006401,African American,152
GCST006401,African American,176
GCST006401,Asian American,225
GCST006401,Asian American,199
GCST006518,Uyghur,108
GCST006518,Uyghur,63
GCST006518,Han Chinese,1080
GCST006518,Han Chinese,424
GCST006517,Uyghur,108
GCST006517,Uyghur,63
GCST006517,Han Chinese,1080
GCST006517,Han Chinese,424
GCST006516,Uyghur,108
GCST006516,Uyghur,63
GCST006516,Han Chinese,1080
GCST006516,Han Chinese,424
GCST006515,Uyghur,108
GCST006515,Uyghur,63
GCST006515,Han Chinese,1080
GCST006515,Han Chinese,424
GCST006514,Uyghur,108
GCST006514,Uyghur,63
GCST006514,Han Chinese,1080
GCST006514,Han Chinese,424
GCST006513,Uyghur,108
GCST006513,Uyghur,63
GCST006513,Han Chinese,1080
GCST006513,Han Chinese,424
GCST006512,Uyghur,108
GCST006512,Uyghur,63
GCST006512,Han Chinese,1080
GCST006512,Han Chinese,424
GCST006511,Uyghur,108
GCST006511,Uyghur,63
GCST006511,Han Chinese,1080
GCST006511,Han Chinese,424
GCST006510,Uyghur,108
GCST006510,Uyghur,63
GCST006510,Han Chinese,1080
GCST006510,Han Chinese,424
GCST006509,Uyghur,108
GCST006509,Uyghur,63
GCST006509,Han Chinese,1080
GCST006509,Han Chinese,424
GCST006508,Uyghur,108
GCST006508,Uyghur,63
GCST006508,Han Chinese,1080
GCST006508,Han Chinese,424
GCST006498,Uyghur,108
GCST006498,Uyghur,63
GCST006498,Han Chinese,1080
GCST006498,Han Chinese,424
GCST006507,Uyghur,108
GCST006507,Uyghur,63
GCST006507,Han Chinese,1080
GCST006507,Han Chinese,424
GCST006506,Uyghur,108
GCST006506,Uyghur,63
GCST006506,Han Chinese,1080
GCST006506,Han Chinese,424
GCST006505,Uyghur,108
GCST006505,Uyghur,63
GCST006505,Han Chinese,1080
GCST006505,Han Chinese,424
GCST006504,Uyghur,108
GCST006504,Uyghur,63
GCST006504,Han Chinese,1080
GCST006504,Han Chinese,424
GCST006503,Uyghur,108
GCST006503,Uyghur,63
GCST006503,Han Chinese,1080
GCST006503,Han Chinese,424
GCST006502,Uyghur,108
GCST006502,Uyghur,63
GCST006502,Han Chinese,1080
GCST006502,Han Chinese,424
GCST006501,Uyghur,108
GCST006501,Uyghur,63
GCST006501,Han Chinese,1080
GCST006501,Han Chinese,424
GCST006500,Uyghur,108
GCST006500,Uyghur,63
GCST006500,Han Chinese,1080
GCST006500,Han Chinese,424
GCST006499,Uyghur,108
GCST006499,Uyghur,63
GCST006499,Han Chinese,1080
GCST006499,Han Chinese,424
GCST006497,Uyghur,108
GCST006497,Uyghur,63
GCST006497,Han Chinese,1080
GCST006497,Han Chinese,424
GCST007128,European,4298
GCST006436,Kuwaiti,1176
GCST006368,European,431743
GCST006368,South Asian,9275
GCST006368,African British,8261
GCST006368,East Asian,1822
GCST006439,Kuwaiti,1176
GCST006437,Kuwaiti,1176
GCST006438,Kuwaiti,1176
GCST006400,European,16341
GCST006400,European,9930
GCST006390,European,156
GCST006390,European,212
GCST006399,European,18439
GCST006399,European,14026
GCST006435,European,76
GCST006435,European,70
GCST006857,Japanese,250
GCST006857,Japanese,1786
GCST006858,Japanese,1129
GCST006858,Japanese,907
GCST006467,European,657
GCST006467,European,4078
GCST006387,Korean,1981
GCST006387,Korean,3100
GCST006278,East Asian,45
GCST006278,East Asian,137
GCST006277,Japanese,363
GCST006277,Japanese,122
GCST006272,Swedish,154
GCST006272,European,177
GCST007104,European,111874
GCST006270,European,18
GCST006270,European,13
GCST006246,Japanese,216
GCST006246,Japanese,719
GCST006409,European,60720
GCST006409,European,618527
GCST006386,European,3735
GCST006388,European,177315
GCST006256,Chinese,1862
GCST006255,Chinese,2790
GCST006254,Chinese,2790
GCST006253,Chinese,2788
GCST006809,East Asian,2666
GCST006809,East Asian,10446
GCST006144,European,86
GCST006144,European,86
GCST006107,Korean,1926
GCST006109,Korean,1926
GCST006110,Korean,1940
GCST006105,Korean,1926
GCST006106,Korean,1926
GCST006108,Korean,1926
GCST006139,European,71
GCST006171,European,42079
GCST006171,African American,217
GCST006171,Asian,282294
GCST006171,Hispanic,124
GCST006171,European,74756
GCST006171,African American,845
GCST006171,Asian,24129
GCST006171,Hispanic,411
GCST006166,European,238058
GCST006166,African American,2280
GCST006166,Asian,54081
GCST006166,Hispanic,6448
GCST006166,European,43318
GCST006166,African American,2761
GCST006166,Asian,86943
GCST006166,Hispanic,6923
GCST006172,European,42077
GCST006172,African American,217
GCST006172,Asian,282294
GCST006172,Hispanic,124
GCST006172,European,74701
GCST006172,African American,845
GCST006172,Asian,24129
GCST006172,Hispanic,411
GCST006167,European,237996
GCST006167,African American,2280
GCST006167,Asian,54080
GCST006167,Hispanic,6448
GCST006167,European,43315
GCST006167,African,2761
GCST006167,Asian,86943
GCST006167,Hispanic,6923
GCST006168,European,238053
GCST006168,African American,2280
GCST006168,Asian,54080
GCST006168,Hispanic,6447
GCST006168,European,43318
GCST006168,African American,2761
GCST006168,Asian,86943
GCST006168,Hispanic,6923
GCST006170,European,42078
GCST006170,African American,217
GCST006170,Asian,282294
GCST006170,Hispanic,124
GCST006170,European,74706
GCST006170,African American,845
GCST006170,Asian,24129
GCST006170,Hispanic,411
GCST006434,European,238002
GCST006434,African American,2280
GCST006434,Asian,54081
GCST006434,Hispanic,6452
GCST006434,European,43316
GCST006434,African American,2761
GCST006434,Asian,86945
GCST006434,Hispanic,6925
GCST006140,European,169
GCST006169,European,42079
GCST006169,African American or Afro Caribbean,217
GCST006169,Asian,282294
GCST006169,Hispanic,124
GCST006169,European,74757
GCST006169,African American,845
GCST006169,Asian,24129
GCST006169,Hispanic,411
GCST006131,European,12952
GCST006131,European,48383
GCST006131,East Asian,8580
GCST006131,East Asian,13050
GCST006131,Hispanic,1611
GCST006131,Hispanic,4330
GCST006131,African American,1894
GCST006131,African American,4703
GCST006067,European,3836
GCST006067,European,48065
GCST006067,Hispanic,411
GCST006067,Hispanic,4778
GCST006067,East Asian,441
GCST006067,East Asian,4034
GCST006067,African American,298
GCST006067,African American,1549
GCST006066,European,6687
GCST006066,European,155514
GCST006066,South Asian,204
GCST006066,South Asian,4916
GCST006066,African British,272
GCST006066,African British,4831
GCST006066,East Asian,22
GCST006066,East Asian,873
GCST006175,African American,89
GCST006656,Japanese,5614
GCST006808,European,1380
GCST006566,European,1129
GCST006566,European,4652
GCST006654,Japanese,392
GCST006654,Japanese,5222
GCST006657,Japanese,302
GCST006657,Japanese,5312
GCST006653,Japanese,669
GCST006653,Japanese,4945
GCST006652,Japanese,944
GCST006652,Japanese,4670
GCST006651,Japanese,1934
GCST006651,Japanese,3680
GCST006650,Japanese,667
GCST006650,Japanese,4947
GCST006649,Japanese,2017
GCST006649,Japanese,3597
GCST006648,Japanese,1081
GCST006648,Japanese,4533
GCST006647,Japanese,277
GCST006647,Japanese,5337
GCST006646,Japanese,1763
GCST006646,Japanese,3851
GCST006645,Japanese,1331
GCST006645,Japanese,4283
GCST006644,Japanese,2005
GCST006644,Japanese,3609
GCST006643,Japanese,921
GCST006643,Japanese,4693
GCST006642,Japanese,903
GCST006642,Japanese,4711
GCST006641,Japanese,1030
GCST006641,Japanese,4584
GCST006640,Japanese,1204
GCST006640,Japanese,4410
GCST006639,Japanese,471
GCST006639,Japanese,5143
GCST006638,Japanese,157
GCST006638,Japanese,5457
GCST006637,Japanese,1494
GCST006637,Japanese,4120
GCST006636,Japanese,3580
GCST006636,Japanese,2034
GCST006056,European,1304
GCST006056,Black,608
GCST006584,Han Chinese,252
GCST006584,Han Chinese,1852
GCST006068,Japanese,2692
GCST006057,European,1304
GCST006057,Black,608
GCST007423,European,135
GCST007423,European,321
GCST007424,European,21
GCST007424,European,321
GCST005928,European,56
GCST005928,European,1285
GCST005908,European,336474
GCST005746,Japanese,153
GCST005746,Japanese,614
GCST005746,Chinese,94
GCST005746,Chinese,187
GCST005746,Thai,185
GCST005746,Thai,198
GCST006393,Japanese,148829
GCST006392,Japanese,148829
GCST006391,Japanese,38143
GCST006391,Japanese,110686
GCST005863,European,32545
GCST006536,Icelandic,68
GCST005867,European,73397
GCST006938,European,20
GCST006938,European,460
GCST006937,European,66
GCST006937,European,460
GCST005964,European,66
GCST005964,European,20
GCST005964,European,460
GCST005747,European,78
GCST005747,European,55
GCST005870,European,114
GCST005870,European,406
GCST005897,European,15547
GCST005897,European,39835
GCST005715,Japanese,3279
GCST006049,Mexican American,4038
GCST006049,European,4806
GCST006050,Singaporean Indian,1520
GCST006050,Mexican American,4038
GCST006050,European,6911
GCST006154,European,67
GCST006154,European,143
GCST006154,European,1798
GCST006150,European,143
GCST006150,European,1798
GCST006149,European,67
GCST006148,European,67
GCST006148,European,1798
GCST006147,European,67
GCST006147,European,143
GCST005881,European,4579
GCST005881,European,7777
GCST005881,Asian,7272
GCST005881,Asian,8775
GCST005881,Chinese,465
GCST005881,Chinese,154
GCST005881,Indian,156
GCST005881,Indian,66
GCST005881,Malay,202
GCST005881,Malay,21
GCST005895,European,4579
GCST005895,European,7777
GCST005895,Asian,7272
GCST005895,Asian,8775
GCST005895,Chinese,465
GCST005895,Chinese,154
GCST005895,Indian,156
GCST005895,Indian,66
GCST005895,Malay,202
GCST005895,Malay,21
GCST006217,European,139
GCST006217,European,990
GCST005907,European,2659
GCST005907,European,17237
GCST005894,European,1640
GCST005894,European,7803
GCST005894,Asian,877
GCST005894,Asian,4510
GCST005894,Chinese,20
GCST005894,Chinese,398
GCST005893,European,1640
GCST005893,European,7803
GCST005893,Asian,877
GCST005893,Asian,4510
GCST005893,Chinese,20
GCST005893,Chinese,398
GCST005891,European,9333
GCST005891,Asian,7405
GCST005891,Chinese,975
GCST005891,Indian,384
GCST005891,Malay,307
GCST005892,European,9333
GCST005892,Asian,7405
GCST005892,Chinese,975
GCST005892,Indian,384
GCST005892,Malay,307
GCST005890,European,832
GCST005890,European,2653
GCST005890,Asian,1518
GCST005890,Asian,3990
GCST005890,Chinese,286
GCST005890,Chinese,154
GCST005890,Indian,114
GCST005890,Indian,66
GCST005890,Malay,116
GCST005890,Malay,21
GCST005889,European,832
GCST005889,European,2653
GCST005889,Asian,1518
GCST005889,Asian,3990
GCST005889,Chinese,286
GCST005889,Chinese,154
GCST005889,Indian,114
GCST005889,Indian,66
GCST005889,Malay,116
GCST005889,Malay,21
GCST005888,European,2891
GCST005888,European,6962
GCST005888,Asian,3755
GCST005888,Asian,10160
GCST005888,Chinese,178
GCST005888,Chinese,154
GCST005888,Indian,39
GCST005888,Indian,64
GCST005887,European,2891
GCST005887,European,6962
GCST005887,Asian,3755
GCST005887,Asian,10160
GCST005887,Chinese,178
GCST005887,Chinese,154
GCST005887,Indian,39
GCST005887,Indian,64
GCST005886,European,1089
GCST005886,European,5311
GCST005886,Asian,877
GCST005886,Asian,4861
GCST005886,Chinese,20
GCST005886,Chinese,149
GCST005885,European,1089
GCST005885,European,5311
GCST005885,Asian,877
GCST005885,Asian,4861
GCST005885,Chinese,20
GCST005885,Chinese,149
GCST005884,European,1408
GCST005884,European,3840
GCST005884,Asian,268
GCST005884,Asian,632
GCST005884,Chinese,75
GCST005884,Chinese,119
GCST005883,European,1408
GCST005883,European,3840
GCST005883,Asian,268
GCST005883,Asian,632
GCST005883,Chinese,75
GCST005883,Chinese,119
GCST005880,European,5406
GCST005880,European,8744
GCST005880,Asian,2964
GCST005880,Asian,3323
GCST005880,Chinese,207
GCST005880,Chinese,273
GCST005880,Indian,58
GCST005880,Indian,107
GCST005880,Malay,103
GCST005880,Malay,56
GCST005882,European,5406
GCST005882,European,8744
GCST005882,Asian,2964
GCST005882,Asian,3323
GCST005882,Chinese,207
GCST005882,Chinese,273
GCST005882,Indian,58
GCST005882,Indian,107
GCST005882,Malay,103
GCST005882,Malay,56
GCST005829,British,111610
GCST006819,Japanese,7685
GCST006826,Japanese,7685
GCST006825,Japanese,7685
GCST006824,Japanese,7685
GCST006823,Japanese,7685
GCST006822,Japanese,7685
GCST006821,Japanese,7685
GCST006820,Japanese,7685
GCST006075,European,27865
GCST005671,East Asian,158
GCST005753,European,6963
GCST005753,African American,1015
GCST005878,Korean,430
GCST005878,Korean,3264
GCST006805,Danish,57
GCST006805,Danish,123
GCST006043,European,150
GCST005718,European,1089
GCST005718,European,635
GCST005646,Finnish,465
GCST005687,Icelandic,81
GCST005687,Icelandic,214412
GCST005807,Chinese,512
GCST005807,Malay,57
GCST005808,Malay,57
GCST005711,European,807
GCST005712,European,807
GCST005930,European,899
GCST005930,European,749
