,Other measurement,Cardiovascular measurement,Neurological disorder,Digestive system disorder,Cancer,Cardiovascular disease,Metabolic disorder,Other disease,Biological process,Immune system disorder,Response to drug,Other trait,Body measurement,Hematological measurement,Lipid or lipoprotein measurement,Inflammatory measurement,Liver enzyme measurement,Year
African Am./Caribbean,5,0,5,1,3,1,1,1,0,0,2,1,0,0,0,1,0,2012
Asian,19,2,7,3,30,6,10,9,3,8,4,2,3,0,0,0,0,2012
African,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,2012
Other/Mixed,4,0,3,0,2,2,0,1,2,2,1,0,1,0,0,0,0,2012
European,37,3,33,4,36,9,6,17,11,8,9,19,6,9,7,0,0,2013
In Part Not Recorded,3,0,13,1,3,2,2,4,0,1,1,5,1,0,0,0,0,2013
Hispanic/Latin American,3,0,0,0,4,1,2,5,2,0,3,1,1,1,2,0,0,2013
African Am./Caribbean,4,0,4,1,6,1,1,1,1,0,2,1,3,9,2,0,0,2013
Asian,25,1,10,5,17,7,10,8,9,9,6,4,2,7,9,0,1,2013
African,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2013
Other/Mixed,1,0,1,5,7,2,4,2,4,0,2,2,0,0,0,0,0,2013
European,70,9,22,9,27,11,9,11,10,11,7,15,4,0,3,0,0,2014
In Part Not Recorded,19,2,7,2,1,2,2,5,0,0,3,2,1,0,1,0,0,2014
Hispanic/Latin American,3,1,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,2014
African Am./Caribbean,8,0,3,0,1,1,1,0,3,1,2,0,0,1,1,0,0,2014
Asian,45,5,6,2,10,4,3,9,1,6,3,1,4,2,1,2,0,2014
African,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2014
Other/Mixed,8,0,1,0,2,3,0,2,1,0,0,0,2,0,0,0,0,2014
European,111,1,11,3,40,25,5,25,9,24,29,15,12,1,5,0,1,2015
In Part Not Recorded,25,1,6,0,8,2,0,5,3,4,7,2,1,0,0,0,1,2015
Hispanic/Latin American,13,0,2,0,2,4,0,6,1,0,5,7,0,0,0,0,0,2015
African Am./Caribbean,19,0,3,0,3,5,1,7,3,2,9,1,7,0,0,0,0,2015
Asian,42,3,19,9,13,11,4,13,2,10,12,23,15,0,4,0,1,2015
African,5,0,4,1,1,0,0,2,1,1,3,0,6,0,0,0,0,2015
Other/Mixed,15,0,4,2,2,7,1,3,1,2,4,7,0,0,0,0,0,2015
European,96,15,20,4,23,25,10,13,4,9,8,19,7,5,11,0,1,2016
In Part Not Recorded,16,2,4,0,4,1,7,10,2,0,4,3,4,0,0,0,0,2016
Hispanic/Latin American,9,1,3,1,2,4,3,0,0,0,9,0,1,1,8,0,0,2016
African Am./Caribbean,17,9,6,1,7,6,2,1,1,0,10,0,2,0,8,0,0,2016
Asian,43,17,16,6,11,4,7,3,1,4,6,2,8,0,8,0,0,2016
African,5,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,2016
Other/Mixed,3,0,2,0,3,5,2,1,0,0,1,4,1,6,2,0,0,2016
European,159,43,18,2,16,6,4,14,18,5,17,14,49,3,4,1,4,2017
In Part Not Recorded,20,1,1,1,5,6,0,7,1,4,1,4,0,7,4,1,4,2017
Hispanic/Latin American,32,6,1,0,2,3,1,4,1,0,6,4,0,12,0,1,0,2017
African Am./Caribbean,31,8,3,0,4,2,3,0,14,0,2,7,33,0,0,0,0,2017
Asian,42,4,12,4,14,12,4,13,2,2,8,8,3,0,14,0,0,2017
African,6,2,0,4,0,2,1,15,2,1,9,2,2,0,0,0,0,2017
Other/Mixed,9,13,0,0,0,0,1,0,1,3,7,2,0,0,0,0,0,2017
European,111,10,19,12,20,16,33,36,9,7,10,9,3,3,4,0,0,2018
In Part Not Recorded,19,4,8,3,7,2,2,4,2,3,9,0,7,1,8,0,0,2018
Hispanic/Latin American,36,2,2,1,3,1,5,2,6,0,4,1,0,0,0,0,0,2018
African Am./Caribbean,38,3,5,0,2,3,1,2,11,0,7,3,0,0,0,0,0,2018
Asian,150,5,14,4,9,4,91,28,7,11,8,10,3,3,1,0,0,2018
African,7,0,4,0,1,1,0,1,0,0,0,2,1,0,4,0,0,2018
Other/Mixed,23,0,1,0,0,1,1,1,0,0,0,0,0,0,4,0,0,2018
European,137,7,11,4,6,8,4,6,21,2,16,8,29,0,55,1,0,2019
In Part Not Recorded,12,0,16,0,1,0,2,0,0,0,2,1,2,0,0,0,0,2019
Hispanic/Latin American,22,1,0,1,1,0,0,0,15,0,0,0,0,0,36,0,0,2019
African Am./Caribbean,22,3,2,0,1,2,3,1,17,0,4,1,0,0,24,0,0,2019
Asian,54,0,4,3,8,1,6,1,40,3,3,4,5,0,88,0,2,2019
African,16,0,0,0,1,0,1,0,6,0,0,0,0,0,18,0,0,2019
Other/Mixed,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,2019
