,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,EFOTerm,color
28,European,31.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,replication,2018-07-16,GCST006270,Immune system disorder,multiple sclerosis,#d53e4f
29,European,151.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,initial,2018-07-16,GCST006270,Immune system disorder,multiple sclerosis,#d53e4f
30,European,31.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,replication,2018-07-16,GCST006270,Response to drug,response to interferon beta,#d53e4f
31,European,151.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,initial,2018-07-16,GCST006270,Response to drug,response to interferon beta,#d53e4f
32,European,31.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,replication,2018-07-16,GCST006270,Digestive system disorder,drug-induced liver injury,#d53e4f
33,European,151.0,30013178.0,Kowalec K,Drug-induced liver injury in interferon-beta-treated multiple sclerosis,initial,2018-07-16,GCST006270,Digestive system disorder,drug-induced liver injury,#d53e4f
36,European,243.0,30014611.0,Weiss RB,Age at loss of ambulation in Duchenne muscular dystrophy,initial,2018-07-16,GCST006286,Neurological disorder,Duchenne muscular dystrophy,#d53e4f
38,European,243.0,30014611.0,Weiss RB,Age at loss of ambulation in Duchenne muscular dystrophy,initial,2018-07-16,GCST006286,Other measurement,disease progression measurement,#d53e4f
40,Asian,636.0,30012571.0,Jia X,Childhood steroid-sensitive nephrotic syndrome,initial,2018-07-16,GCST006246,Other disease,nephrotic syndrome,#3288bd
41,Asian,935.0,30012571.0,Jia X,Childhood steroid-sensitive nephrotic syndrome,initial,2018-07-16,GCST006246,Other disease,nephrotic syndrome,#3288bd
46,European,137086.0,30054594.0,MacGregor S,Glaucoma,initial,2018-07-27,GCST006395,Neurological disorder,glaucoma,#d53e4f
47,African,8429.0,30061609.0,Wyss AB,Lung function (FVC),initial,2018-07-30,GCST006483,Other measurement,vital capacity,#fc8d59
48,Hispanic/Latin American,11775.0,30061609.0,Wyss AB,Lung function (FVC),initial,2018-07-30,GCST006483,Other measurement,vital capacity,#807dba
49,Asian,9959.0,30061609.0,Wyss AB,Lung function (FVC),initial,2018-07-30,GCST006483,Other measurement,vital capacity,#3288bd
50,European,60552.0,30061609.0,Wyss AB,Lung function (FVC),initial,2018-07-30,GCST006483,Other measurement,vital capacity,#d53e4f
51,European,1030836.0,30061737.0,Nielsen JB,Atrial fibrillation,initial,2018-07-30,GCST006414,Cardiovascular disease,atrial fibrillation,#d53e4f
52,European,60552.0,30061609.0,Wyss AB,Lung function (FEV1/FVC),initial,2018-07-30,GCST006482,Other measurement,FEV/FEC ratio,#d53e4f
53,African,8429.0,30061609.0,Wyss AB,Lung function (FEV1/FVC),initial,2018-07-30,GCST006482,Other measurement,FEV/FEC ratio,#fc8d59
54,Hispanic/Latin American,11775.0,30061609.0,Wyss AB,Lung function (FEV1/FVC),initial,2018-07-30,GCST006482,Other measurement,FEV/FEC ratio,#807dba
55,Asian,9959.0,30061609.0,Wyss AB,Lung function (FEV1/FVC),initial,2018-07-30,GCST006482,Other measurement,FEV/FEC ratio,#3288bd
56,Asian,485.0,30054556.0,Akiyama M,Response to ranibizumab in age-related macular degeneration (exudative),replication,2018-07-27,GCST006277,Response to drug,response to ranibizumab,#3288bd
57,Asian,434.0,30054556.0,Akiyama M,Response to ranibizumab in age-related macular degeneration (exudative),initial,2018-07-27,GCST006277,Response to drug,response to ranibizumab,#3288bd
58,Asian,485.0,30054556.0,Akiyama M,Response to ranibizumab in age-related macular degeneration (exudative),replication,2018-07-27,GCST006277,Neurological disorder,wet macular degeneration,#3288bd
59,Asian,434.0,30054556.0,Akiyama M,Response to ranibizumab in age-related macular degeneration (exudative),initial,2018-07-27,GCST006277,Neurological disorder,wet macular degeneration,#3288bd
60,European,1645.0,30068317.0,Li X,Post bronchodilator FEV1/FVC ratio in smoking,initial,2018-08-01,GCST006310,Biological process,smoking behavior,#d53e4f
61,European,1645.0,30068317.0,Li X,Post bronchodilator FEV1/FVC ratio in smoking,initial,2018-08-01,GCST006310,Other measurement,FEV/FEC ratio,#d53e4f
62,European,2270.0,30067744.0,Howe LJ,Nonsyndromic cleft lip with or without cleft palate,initial,2018-08-01,GCST006415,Other trait,cleft palate,#d53e4f
64,European,2270.0,30067744.0,Howe LJ,Nonsyndromic cleft lip with or without cleft palate,initial,2018-08-01,GCST006415,Other trait,cleft lip,#d53e4f
66,Asian,447.0,30067105.0,Chang LC,Adverse response to antithyroid drugs in Graves disease,initial,2018-08-01,GCST006278,Immune system disorder,Graves disease,#3288bd
67,Asian,182.0,30067105.0,Chang LC,Adverse response to antithyroid drugs in Graves disease,replication,2018-08-01,GCST006278,Immune system disorder,Graves disease,#3288bd
68,Asian,447.0,30067105.0,Chang LC,Adverse response to antithyroid drugs in Graves disease,initial,2018-08-01,GCST006278,Response to drug,response to antithyroid drug,#3288bd
69,Asian,182.0,30067105.0,Chang LC,Adverse response to antithyroid drugs in Graves disease,replication,2018-08-01,GCST006278,Response to drug,response to antithyroid drug,#3288bd
70,European,6136.0,30067744.0,Howe LJ,Philtrum width,initial,2018-08-01,GCST006407,Other measurement,lip morphology measurement,#d53e4f
71,European,1645.0,30068317.0,Li X,Post bronchodilator percent predicted FEV1 in smoking,initial,2018-08-01,GCST006309,Biological process,smoking behavior,#d53e4f
72,European,1645.0,30068317.0,Li X,Post bronchodilator percent predicted FEV1 in smoking,initial,2018-08-01,GCST006309,Other measurement,forced expiratory volume,#d53e4f
73,European,497.0,30066433.0,Jabbari E,Non-Richardson's syndrome vs Richardson's syndrome in progressive supranuclear palsy,initial,2018-07-31,GCST006276,Neurological disorder,progressive supranuclear palsy,#d53e4f
74,European,60552.0,30061609.0,Wyss AB,Lung function (FEV1),initial,2018-07-30,GCST006481,Other measurement,forced expiratory volume,#d53e4f
75,African,8429.0,30061609.0,Wyss AB,Lung function (FEV1),initial,2018-07-30,GCST006481,Other measurement,forced expiratory volume,#fc8d59
76,Hispanic/Latin American,11775.0,30061609.0,Wyss AB,Lung function (FEV1),initial,2018-07-30,GCST006481,Other measurement,forced expiratory volume,#807dba
77,Asian,9959.0,30061609.0,Wyss AB,Lung function (FEV1),initial,2018-07-30,GCST006481,Other measurement,forced expiratory volume,#3288bd
78,European,759.0,30104601.0,Ren H,Anhedonia in major depressive disorder,initial,2018-08-13,GCST006927,Neurological disorder,unipolar depression,#d53e4f
80,European,759.0,30104601.0,Ren H,Anhedonia in major depressive disorder,initial,2018-08-13,GCST006927,Other measurement,anhedonia measurement,#d53e4f
82,European,368.0,30102696.0,Chen Y,Biliary atresia,replication,2018-08-13,GCST006390,Digestive system disorder,biliary atresia,#d53e4f
83,European,2059.0,30102696.0,Chen Y,Biliary atresia,initial,2018-08-13,GCST006390,Digestive system disorder,biliary atresia,#d53e4f
84,European,32465.0,30104567.0,Ji X,Lung cancer,replication,2018-08-13,GCST006399,Cancer,lung carcinoma,#d53e4f
85,European,10473.0,30104567.0,Ji X,Lung cancer,initial,2018-08-13,GCST006399,Cancer,lung carcinoma,#d53e4f
86,European,164.0,30103242.0,Karhausen JA,Thrombocytopenia in coronary artery bypass surgery,initial,2018-08-13,GCST006435,Other trait,coronary artery bypass,#d53e4f
87,European,444.0,30103242.0,Karhausen JA,Thrombocytopenia in coronary artery bypass surgery,initial,2018-08-13,GCST006435,Other trait,coronary artery bypass,#d53e4f
88,European,164.0,30103242.0,Karhausen JA,Thrombocytopenia in coronary artery bypass surgery,initial,2018-08-13,GCST006435,Other trait,thrombocytopenia,#d53e4f
89,European,444.0,30103242.0,Karhausen JA,Thrombocytopenia in coronary artery bypass surgery,initial,2018-08-13,GCST006435,Other trait,thrombocytopenia,#d53e4f
90,European,10473.0,30104567.0,Ji X,Lung cancer (SNP x SNP interaction),initial,2018-08-13,GCST006398,Cancer,lung carcinoma,#d53e4f
91,Asian,13980.0,30102679.0,Hara M,Leisure-time exercise behaviour,initial,2018-08-10,GCST006857,Biological process,exercise,#3288bd
92,Asian,2036.0,30102679.0,Hara M,Leisure-time exercise behaviour,initial,2018-08-10,GCST006857,Biological process,exercise,#3288bd
93,Asian,13980.0,30102679.0,Hara M,Leisure-time exercise behaviour (age-stratified),initial,2018-08-10,GCST006858,Biological process,exercise,#3288bd
94,Asian,2036.0,30102679.0,Hara M,Leisure-time exercise behaviour (age-stratified),initial,2018-08-10,GCST006858,Biological process,exercise,#3288bd
95,European,26271.0,30104567.0,Ji X,Lung cancer in ever smokers,replication,2018-08-13,GCST006400,Other measurement,smoking status measurement,#d53e4f
96,European,8669.0,30104567.0,Ji X,Lung cancer in ever smokers,initial,2018-08-13,GCST006400,Other measurement,smoking status measurement,#d53e4f
97,European,26271.0,30104567.0,Ji X,Lung cancer in ever smokers,replication,2018-08-13,GCST006400,Cancer,lung carcinoma,#d53e4f
98,European,8669.0,30104567.0,Ji X,Lung cancer in ever smokers,initial,2018-08-13,GCST006400,Cancer,lung carcinoma,#d53e4f
99,European,4098.0,30073298.0,Schellevis RL,Chronic central serous retinopathy,initial,2018-08-02,GCST006416,Neurological disorder,chronic central serous retinopathy,#d53e4f
100,European,3126.0,30070759.0,Olsson M,Plasma factor VII activating protease levels,initial,2018-08-02,GCST006417,Other measurement,factor VII activating protease measurement,#d53e4f
101,European,830.0,30196823.0,Blum S,Guillain-Barré syndrome,initial,2018-08-02,GCST006836,Immune system disorder,Guillain-Barre syndrome,#d53e4f
102,European,688809.0,29942085.0,Nagel M,Depression,initial,2018-06-25,GCST006477,Neurological disorder,unipolar depression,#d53e4f
103,Asian,1999.0,29953918.0,Deng C,Serum folate levels,initial,2018-06-25,GCST006137,Other measurement,folic acid measurement,#3288bd
104,European,269867.0,29942086.0,Savage JE,Intelligence,initial,2018-06-25,GCST006250,Biological process,intelligence,#d53e4f
105,European,449484.0,29942085.0,Nagel M,Neuroticism,initial,2018-06-25,GCST006476,Other measurement,neuroticism measurement,#d53e4f
106,European,348219.0,29942085.0,Nagel M,Worry,initial,2018-06-25,GCST006478,Other measurement,worry measurement,#d53e4f
107,European,357957.0,29942085.0,Nagel M,Depressed affect,initial,2018-06-25,GCST006475,Neurological disorder,unipolar depression,#d53e4f
108,European,357957.0,29942085.0,Nagel M,Depressed affect,initial,2018-06-25,GCST006475,Neurological disorder,mood disorder,#d53e4f
109,European,456426.0,29936532.0,Colodro-Conde L,Socioeconomic status of place of residence,initial,2018-06-23,GCST007422,Other measurement,place of residence measurement,#d53e4f
110,European,504130.0,29936532.0,Colodro-Conde L,Population density of place of residence,initial,2018-06-23,GCST007421,Other measurement,place of residence measurement,#d53e4f
111,European,172.0,29934777.0,Witten A,Heparin-induced thrombocytopenia,initial,2018-06-22,GCST006144,Response to drug,response to heparin,#d53e4f
112,European,192.0,29934777.0,Witten A,Heparin-induced thrombocytopenia,initial,2018-06-22,GCST006144,Response to drug,response to heparin,#d53e4f
113,European,172.0,29934777.0,Witten A,Heparin-induced thrombocytopenia,initial,2018-06-22,GCST006144,Other trait,thrombocytopenia,#d53e4f
114,European,192.0,29934777.0,Witten A,Heparin-induced thrombocytopenia,initial,2018-06-22,GCST006144,Other trait,thrombocytopenia,#d53e4f
116,European,17037.0,29931343.0,Haworth S,Childhood dental caries in primary teeth,initial,2018-06-20,GCST006312,Digestive system disorder,dental caries,#d53e4f
117,European,166.0,29915124.0,Marini S,Hematoma volume in non-lobar spontaneous intracerebral hemorrhage,initial,2018-06-18,GCST006140,Cardiovascular disease,intracerebral hemorrhage,#d53e4f
118,European,169.0,29915124.0,Marini S,Hematoma volume in non-lobar spontaneous intracerebral hemorrhage,replication,2018-06-18,GCST006140,Cardiovascular disease,intracerebral hemorrhage,#d53e4f
119,African Am./Caribbean,6597.0,29917119.0,Schmit SL,Colorectal cancer,initial,2018-06-16,GCST006131,Cancer,colorectal cancer,#fee08b
120,Asian,21630.0,29917119.0,Schmit SL,Colorectal cancer,replication,2018-06-16,GCST006131,Cancer,colorectal cancer,#3288bd
121,European,61335.0,29917119.0,Schmit SL,Colorectal cancer,replication,2018-06-16,GCST006131,Cancer,colorectal cancer,#d53e4f
122,European,67812.0,29917119.0,Schmit SL,Colorectal cancer,initial,2018-06-16,GCST006131,Cancer,colorectal cancer,#d53e4f
123,Hispanic/Latin American,5941.0,29917119.0,Schmit SL,Colorectal cancer,replication,2018-06-16,GCST006131,Cancer,colorectal cancer,#807dba
124,European,2796.0,29903748.0,Debiec H,Childhood steroid-sensitive nephrotic syndrome,initial,2018-06-14,GCST006252,Other disease,nephrotic syndrome,#d53e4f
125,African,510.0,29903748.0,Debiec H,Childhood steroid-sensitive nephrotic syndrome,initial,2018-06-14,GCST006252,Other disease,nephrotic syndrome,#fc8d59
126,Other/Mixed,346.0,29903748.0,Debiec H,Childhood steroid-sensitive nephrotic syndrome,initial,2018-06-14,GCST006252,Other disease,nephrotic syndrome,#99d594
127,European,31930.0,29924316.0,Byun J,Familial squamous cell lung carcinoma,initial,2018-06-19,GCST006088,Cancer,squamous cell lung carcinoma,#d53e4f
128,European,31930.0,29924316.0,Byun J,Familial squamous cell lung carcinoma,initial,2018-06-19,GCST006088,Other measurement,family history of lung cancer,#d53e4f
129,European,32338.0,29924316.0,Byun J,Familial lung adenocarcinoma,initial,2018-06-19,GCST006087,Cancer,lung adenocarcinoma,#d53e4f
130,European,32338.0,29924316.0,Byun J,Familial lung adenocarcinoma,initial,2018-06-19,GCST006087,Other measurement,family history of lung cancer,#d53e4f
131,European,35953.0,29924316.0,Byun J,Familial lung cancer,initial,2018-06-19,GCST006086,Cancer,lung carcinoma,#d53e4f
132,European,35953.0,29924316.0,Byun J,Familial lung cancer,initial,2018-06-19,GCST006086,Other measurement,family history of lung cancer,#d53e4f
133,European,228.0,29915124.0,Marini S,Hematoma volume in lobar spontaneous intracerebral hemorrhage,initial,2018-06-18,GCST006139,Cardiovascular disease,intracerebral hemorrhage,#d53e4f
134,European,71.0,29915124.0,Marini S,Hematoma volume in lobar spontaneous intracerebral hemorrhage,replication,2018-06-18,GCST006139,Cardiovascular disease,intracerebral hemorrhage,#d53e4f
135,European,24953.0,30003630.0,Minica CC,Cannabis use (age at onset),initial,2018-07-13,GCST006386,Biological process,Cannabis use,#d53e4f
136,European,3735.0,30003630.0,Minica CC,Cannabis use (age at onset),replication,2018-07-13,GCST006386,Biological process,Cannabis use,#d53e4f
137,European,24953.0,30003630.0,Minica CC,Cannabis use (age at onset),initial,2018-07-13,GCST006386,Other measurement,age at onset,#d53e4f
138,European,3735.0,30003630.0,Minica CC,Cannabis use (age at onset),replication,2018-07-13,GCST006386,Other measurement,age at onset,#d53e4f
139,European,15666.0,30003307.0,Fall T,Coronary artery disease in diabetes,initial,2018-07-12,GCST006405,Metabolic disorder,diabetes mellitus,#d53e4f
140,European,15666.0,30003307.0,Fall T,Coronary artery disease in diabetes,initial,2018-07-12,GCST006405,Cardiovascular disease,coronary artery disease,#d53e4f
141,European,177315.0,29988085.0,Merino J,Dietary macronutrient intake,replication,2018-07-09,GCST006388,Biological process,energy intake,#d53e4f
142,European,91114.0,29988085.0,Merino J,Dietary macronutrient intake,initial,2018-07-09,GCST006388,Biological process,energy intake,#d53e4f
143,European,1552.0,30289108.0,Li W,Prostate cancer mortality,replication,2018-07-07,GCST008493,Other measurement,survival time,#d53e4f
144,European,1053.0,30289108.0,Li W,Prostate cancer mortality,initial,2018-07-07,GCST008493,Other measurement,survival time,#d53e4f
145,European,1552.0,30289108.0,Li W,Prostate cancer mortality,replication,2018-07-07,GCST008493,Cancer,prostate carcinoma,#d53e4f
146,European,1053.0,30289108.0,Li W,Prostate cancer mortality,initial,2018-07-07,GCST008493,Cancer,prostate carcinoma,#d53e4f
147,Asian,421.0,30034349.0,Lin E,Response to selective serotonin reuptake inhibitors in depression,initial,2018-07-06,GCST006267,Neurological disorder,unipolar depression,#3288bd
148,Asian,421.0,30034349.0,Lin E,Response to selective serotonin reuptake inhibitors in depression,initial,2018-07-06,GCST006267,Response to drug,response to selective serotonin reuptake inhibitor,#3288bd
149,Asian,421.0,30034349.0,Lin E,Remission after SSRI treatment in major depression,initial,2018-07-06,GCST006266,Neurological disorder,unipolar depression,#3288bd
150,Asian,421.0,30034349.0,Lin E,Remission after SSRI treatment in major depression,initial,2018-07-06,GCST006266,Response to drug,response to selective serotonin reuptake inhibitor,#3288bd
151,European,434.0,29981864.0,Mohammadnejad A,Allergic rhinitis x sex interaction,initial,2018-07-05,GCST008138,Other measurement,sex interaction measurement,#d53e4f
152,European,434.0,29981864.0,Mohammadnejad A,Allergic rhinitis x sex interaction,initial,2018-07-05,GCST008138,Immune system disorder,allergic rhinitis,#d53e4f
153,Asian,200.0,29975729.0,Kim TH,Hepatitis B surface antigen seroclearance in chronic hepatitis B infection,initial,2018-07-05,GCST006364,Other measurement,Hepatitis B virus surface antigen seropositivity,#3288bd
154,Asian,200.0,29975729.0,Kim TH,Hepatitis B surface antigen seroclearance in chronic hepatitis B infection,initial,2018-07-05,GCST006364,Digestive system disorder,chronic hepatitis B infection,#3288bd
155,European,204.0,29973135.0,Rimpela JM,Systolic blood pressure night-to-day ratio in hypertension,initial,2018-07-04,GCST006274,Cardiovascular disease,hypertension,#d53e4f
156,European,204.0,29973135.0,Rimpela JM,Systolic blood pressure night-to-day ratio in hypertension,initial,2018-07-04,GCST006274,Other measurement,systolic blood pressure change measurement,#d53e4f
157,European,204.0,29973135.0,Rimpela JM,Diastolic blood pressure night-to-day ratio in hypertension,initial,2018-07-04,GCST006273,Other measurement,diastolic blood pressure change measurement,#d53e4f
158,European,204.0,29973135.0,Rimpela JM,Diastolic blood pressure night-to-day ratio in hypertension,initial,2018-07-04,GCST006273,Cardiovascular disease,hypertension,#d53e4f
159,European,505.0,29942513.0,Penney ME,Mucinous adenocarcinoma in colorectal cancer,initial,2018-06-13,GCST006411,Cancer,colorectal cancer,#d53e4f
160,European,505.0,29942513.0,Penney ME,Mucinous adenocarcinoma in colorectal cancer,initial,2018-06-13,GCST006411,Cancer,colorectal mucinous adenocarcinoma,#d53e4f
161,European,91084.0,29899525.0,Klimentidis YC,Accelerometer-based physical activity measurement (average acceleration),initial,2018-06-13,GCST006099,Other measurement,physical activity measurement,#d53e4f
162,European,350492.0,29899525.0,Klimentidis YC,Strenuous sports or other exercises,initial,2018-06-13,GCST006100,Other measurement,physical activity measurement,#d53e4f
163,European,261055.0,29899525.0,Klimentidis YC,Vigorous physical activity,initial,2018-06-13,GCST006098,Other measurement,physical activity measurement,#d53e4f
164,European,377234.0,29899525.0,Klimentidis YC,Moderate to vigorous physical activity levels,initial,2018-06-13,GCST006097,Other measurement,physical activity measurement,#d53e4f
165,European,90667.0,29899525.0,Klimentidis YC,Accelerometer-based physical activity measurement (fraction of time with accelerations >425 milli-gravities),initial,2018-06-13,GCST006079,Other measurement,physical activity measurement,#d53e4f
166,Asian,781.0,29967481.0,Joo YB,Childhood onset systemic lupus erythematosus,initial,2018-07-02,GCST006260,Other measurement,age at onset,#3288bd
167,Asian,781.0,29967481.0,Joo YB,Childhood onset systemic lupus erythematosus,initial,2018-07-02,GCST006260,Immune system disorder,systemic lupus erythematosus,#3288bd
168,Asian,511.0,30004843.0,Ge S,Elevated fasting plasma glucose,initial,2018-07-01,GCST006257,Other measurement,fasting blood glucose measurement,#3288bd
169,European,2284.0,30134085.0,Zhang H,Cognitive flexibility,initial,2018-07-01,GCST006406,Other measurement,executive function measurement,#d53e4f
170,African Am./Caribbean,2589.0,30134085.0,Zhang H,Cognitive flexibility,initial,2018-07-01,GCST006406,Other measurement,executive function measurement,#fee08b
171,Asian,8832.0,30045251.0,Lee MR,Body mass index,initial,2018-07-01,GCST006369,Body measurement,body mass index,#3288bd
172,Asian,13112.0,30304924.0,Kim HJ,Kawasaki disease,replication,2018-06-30,GCST006809,Immune system disorder,mucocutaneous lymph node syndrome,#3288bd
173,Asian,1296.0,30304924.0,Kim HJ,Kawasaki disease,initial,2018-06-30,GCST006809,Immune system disorder,mucocutaneous lymph node syndrome,#3288bd
174,European,209.0,29959729.0,Zhong XL,Cerebrospinal fluid α-synuclein levels,initial,2018-06-29,GCST006279,Other measurement,cerebrospinal fluid biomarker measurement,#d53e4f
175,European,209.0,29959729.0,Zhong XL,Cerebrospinal fluid α-synuclein levels,initial,2018-06-29,GCST006279,Other measurement,alpha synuclein measurement,#d53e4f
176,Asian,100.0,30065583.0,Choi MR,Skin hydration,initial,2018-06-28,GCST006939,Other measurement,skin hydration measurement,#3288bd
178,European,28599.0,29971594.0,Rosenberger A,Lung cancer x radon exposure interaction (1df),initial,2018-07-03,GCST006413,Cancer,lung carcinoma,#d53e4f
179,European,28599.0,29971594.0,Rosenberger A,Lung cancer x radon exposure interaction (1df),initial,2018-07-03,GCST006413,Other measurement,radon exposure measurement,#d53e4f
180,European,13353.0,29931343.0,Haworth S,Childhood dental caries in permanent teeth,initial,2018-06-20,GCST006311,Digestive system disorder,dental caries,#d53e4f
181,European,1043.0,29884837.0,Reyes-Gibby CC,Neuropathic pain in head and neck cancer,initial,2018-06-08,GCST005934,Cancer,head and neck malignant neoplasia,#d53e4f
182,European,1043.0,29884837.0,Reyes-Gibby CC,Neuropathic pain in head and neck cancer,initial,2018-06-08,GCST005934,Other trait,neuropathic pain,#d53e4f
183,European,3301.0,29875488.0,Sun BB,Blood protein levels,initial,2018-06-06,GCST005806,Other measurement,blood protein measurement,#d53e4f
184,African Am./Caribbean,4306.0,29885931.0,Langefeld CD,End-stage renal disease,initial,2018-06-06,GCST006814,Other disease,chronic kidney disease,#fee08b
185,African Am./Caribbean,89.0,29875475.0,Montalvo-Ortiz JL,Cannabis-related aggression,replication,2018-06-06,GCST006175,Biological process,Cannabis use,#fee08b
186,European,2546.0,29875475.0,Montalvo-Ortiz JL,Cannabis-related aggression,initial,2018-06-06,GCST006175,Biological process,Cannabis use,#d53e4f
187,African Am./Caribbean,3269.0,29875475.0,Montalvo-Ortiz JL,Cannabis-related aggression,initial,2018-06-06,GCST006175,Biological process,Cannabis use,#fee08b
188,African Am./Caribbean,89.0,29875475.0,Montalvo-Ortiz JL,Cannabis-related aggression,replication,2018-06-06,GCST006175,Biological process,aggressive behavior,#fee08b
189,European,2546.0,29875475.0,Montalvo-Ortiz JL,Cannabis-related aggression,initial,2018-06-06,GCST006175,Biological process,aggressive behavior,#d53e4f
190,African Am./Caribbean,3269.0,29875475.0,Montalvo-Ortiz JL,Cannabis-related aggression,initial,2018-06-06,GCST006175,Biological process,aggressive behavior,#fee08b
191,African Am./Caribbean,1229.0,29885931.0,Langefeld CD,End stage renal disease in APOL1 risk genotype-positive individuals,initial,2018-06-06,GCST006816,Other disease,chronic kidney disease,#fee08b
192,African Am./Caribbean,1229.0,29885931.0,Langefeld CD,End stage renal disease in APOL1 risk genotype-positive individuals,initial,2018-06-06,GCST006816,Other measurement,APOL1 risk genotype carrier status,#fee08b
193,African Am./Caribbean,3076.0,29885931.0,Langefeld CD,End stage renal disease in APOL1 risk genotype-negative individuals,initial,2018-06-06,GCST006815,Other disease,chronic kidney disease,#fee08b
194,African Am./Caribbean,3076.0,29885931.0,Langefeld CD,End stage renal disease in APOL1 risk genotype-negative individuals,initial,2018-06-06,GCST006815,Other measurement,APOL1 risk genotype carrier status,#fee08b
195,African Am./Caribbean,2649.0,29885931.0,Langefeld CD,End stage renal disease x APOL1 genotype interaction,initial,2018-06-06,GCST006813,Other disease,chronic kidney disease,#fee08b
196,African Am./Caribbean,2649.0,29885931.0,Langefeld CD,End stage renal disease x APOL1 genotype interaction,initial,2018-06-06,GCST006813,Other measurement,APOL1 risk genotype carrier status,#fee08b
197,European,2110.0,29883787.0,Gregson CL,Bone mineral density (total hip),initial,2018-06-05,GCST006143,Other measurement,hip bone mineral density,#d53e4f
198,European,300486.0,29844566.0,Davies G,General cognitive ability,initial,2018-05-29,GCST006269,Biological process,intelligence,#d53e4f
