,Broader,N,PUBMEDID,AUTHOR,DiseaseOrTrait,STAGE,DATE,ACCESSION,parentterm,color
143,European,3735.0,30003630.0,Minica CC,Cannabis use (age at onset),replication,2018-07-13,GCST006386,Other measurement,#d53e4f
144,European,15666.0,30003307.0,Fall T,Coronary artery disease in diabetes,initial,2018-07-12,GCST006405,Cardiovascular disease,#d53e4f
145,European,15666.0,30003307.0,Fall T,Coronary artery disease in diabetes,initial,2018-07-12,GCST006405,Metabolic disorder,#d53e4f
146,European,177315.0,29988085.0,Merino J,Dietary macronutrient intake,replication,2018-07-09,GCST006388,Biological process,#d53e4f
147,European,91114.0,29988085.0,Merino J,Dietary macronutrient intake,initial,2018-07-09,GCST006388,Biological process,#d53e4f
148,European,1552.0,30289108.0,Li W,Prostate cancer mortality,replication,2018-07-07,GCST008493,Cancer,#d53e4f
149,European,1053.0,30289108.0,Li W,Prostate cancer mortality,initial,2018-07-07,GCST008493,Cancer,#d53e4f
150,European,1552.0,30289108.0,Li W,Prostate cancer mortality,replication,2018-07-07,GCST008493,Other measurement,#d53e4f
151,European,1053.0,30289108.0,Li W,Prostate cancer mortality,initial,2018-07-07,GCST008493,Other measurement,#d53e4f
152,Asian,421.0,30034349.0,Lin E,Response to selective serotonin reuptake inhibitors in depression,initial,2018-07-06,GCST006267,Response to drug,#3288bd
153,Asian,421.0,30034349.0,Lin E,Response to selective serotonin reuptake inhibitors in depression,initial,2018-07-06,GCST006267,Neurological disorder,#3288bd
154,Asian,421.0,30034349.0,Lin E,Remission after SSRI treatment in major depression,initial,2018-07-06,GCST006266,Response to drug,#3288bd
155,Asian,421.0,30034349.0,Lin E,Remission after SSRI treatment in major depression,initial,2018-07-06,GCST006266,Neurological disorder,#3288bd
156,European,434.0,29981864.0,Mohammadnejad A,Allergic rhinitis x sex interaction,initial,2018-07-05,GCST008138,Immune system disorder,#d53e4f
157,European,434.0,29981864.0,Mohammadnejad A,Allergic rhinitis x sex interaction,initial,2018-07-05,GCST008138,Other measurement,#d53e4f
158,Asian,200.0,29975729.0,Kim TH,Hepatitis B surface antigen seroclearance in chronic hepatitis B infection,initial,2018-07-05,GCST006364,Digestive system disorder,#3288bd
159,Asian,200.0,29975729.0,Kim TH,Hepatitis B surface antigen seroclearance in chronic hepatitis B infection,initial,2018-07-05,GCST006364,Other measurement,#3288bd
160,European,204.0,29973135.0,Rimpela JM,Systolic blood pressure night-to-day ratio in hypertension,initial,2018-07-04,GCST006274,Other measurement,#d53e4f
161,European,204.0,29973135.0,Rimpela JM,Systolic blood pressure night-to-day ratio in hypertension,initial,2018-07-04,GCST006274,Cardiovascular disease,#d53e4f
162,European,204.0,29973135.0,Rimpela JM,Diastolic blood pressure night-to-day ratio in hypertension,initial,2018-07-04,GCST006273,Other measurement,#d53e4f
163,European,204.0,29973135.0,Rimpela JM,Diastolic blood pressure night-to-day ratio in hypertension,initial,2018-07-04,GCST006273,Cardiovascular disease,#d53e4f
164,European,505.0,29942513.0,Penney ME,Mucinous adenocarcinoma in colorectal cancer,initial,2018-06-13,GCST006411,Cancer,#d53e4f
165,European,91084.0,29899525.0,Klimentidis YC,Accelerometer-based physical activity measurement (average acceleration),initial,2018-06-13,GCST006099,Other measurement,#d53e4f
166,European,350492.0,29899525.0,Klimentidis YC,Strenuous sports or other exercises,initial,2018-06-13,GCST006100,Other measurement,#d53e4f
167,European,261055.0,29899525.0,Klimentidis YC,Vigorous physical activity,initial,2018-06-13,GCST006098,Other measurement,#d53e4f
168,European,377234.0,29899525.0,Klimentidis YC,Moderate to vigorous physical activity levels,initial,2018-06-13,GCST006097,Other measurement,#d53e4f
169,European,90667.0,29899525.0,Klimentidis YC,Accelerometer-based physical activity measurement (fraction of time with accelerations >425 milli-gravities),initial,2018-06-13,GCST006079,Other measurement,#d53e4f
170,Asian,781.0,29967481.0,Joo YB,Childhood onset systemic lupus erythematosus,initial,2018-07-02,GCST006260,Immune system disorder,#3288bd
171,Asian,781.0,29967481.0,Joo YB,Childhood onset systemic lupus erythematosus,initial,2018-07-02,GCST006260,Other measurement,#3288bd
172,Asian,511.0,30004843.0,Ge S,Elevated fasting plasma glucose,initial,2018-07-01,GCST006257,Other measurement,#3288bd
173,European,2284.0,30134085.0,Zhang H,Cognitive flexibility,initial,2018-07-01,GCST006406,Other measurement,#d53e4f
174,African Am./Caribbean,2589.0,30134085.0,Zhang H,Cognitive flexibility,initial,2018-07-01,GCST006406,Other measurement,#fee08b
175,Asian,8832.0,30045251.0,Lee MR,Body mass index,initial,2018-07-01,GCST006369,Body measurement,#3288bd
176,Asian,8832.0,30045251.0,Lee MR,Body mass index,initial,2018-07-01,GCST006369,Other measurement,#3288bd
177,Asian,13112.0,30304924.0,Kim HJ,Kawasaki disease,replication,2018-06-30,GCST006809,Immune system disorder,#3288bd
178,Asian,1296.0,30304924.0,Kim HJ,Kawasaki disease,initial,2018-06-30,GCST006809,Immune system disorder,#3288bd
179,European,209.0,29959729.0,Zhong XL,Cerebrospinal fluid α-synuclein levels,initial,2018-06-29,GCST006279,Other measurement,#d53e4f
180,Asian,100.0,30065583.0,Choi MR,Skin hydration,initial,2018-06-28,GCST006939,Other measurement,#3288bd
182,European,28599.0,29971594.0,Rosenberger A,Lung cancer x radon exposure interaction (1df),initial,2018-07-03,GCST006413,Cancer,#d53e4f
183,European,28599.0,29971594.0,Rosenberger A,Lung cancer x radon exposure interaction (1df),initial,2018-07-03,GCST006413,Other measurement,#d53e4f
184,European,13353.0,29931343.0,Haworth S,Childhood dental caries in permanent teeth,initial,2018-06-20,GCST006311,Digestive system disorder,#d53e4f
185,European,1043.0,29884837.0,Reyes-Gibby CC,Neuropathic pain in head and neck cancer,initial,2018-06-08,GCST005934,Cancer,#d53e4f
186,European,1043.0,29884837.0,Reyes-Gibby CC,Neuropathic pain in head and neck cancer,initial,2018-06-08,GCST005934,Other trait,#d53e4f
187,European,3301.0,29875488.0,Sun BB,Blood protein levels,initial,2018-06-06,GCST005806,Other measurement,#d53e4f
188,European,3301.0,29875488.0,Sun BB,Blood protein levels,initial,2018-06-06,GCST005806,Hematological measurement,#d53e4f
189,European,3301.0,29875488.0,Sun BB,Blood protein levels,initial,2018-06-06,GCST005806,Lipid or lipoprotein measurement,#d53e4f
190,European,3301.0,29875488.0,Sun BB,Blood protein levels,initial,2018-06-06,GCST005806,Cardiovascular measurement,#d53e4f
191,European,3301.0,29875488.0,Sun BB,Blood protein levels,initial,2018-06-06,GCST005806,Liver enzyme measurement,#d53e4f
192,European,3301.0,29875488.0,Sun BB,Blood protein levels,initial,2018-06-06,GCST005806,Inflammatory measurement,#d53e4f
193,African Am./Caribbean,4306.0,29885931.0,Langefeld CD,End-stage renal disease,initial,2018-06-06,GCST006814,Other disease,#fee08b
194,African Am./Caribbean,89.0,29875475.0,Montalvo-Ortiz JL,Cannabis-related aggression,replication,2018-06-06,GCST006175,Biological process,#fee08b
195,European,2546.0,29875475.0,Montalvo-Ortiz JL,Cannabis-related aggression,initial,2018-06-06,GCST006175,Biological process,#d53e4f
196,African Am./Caribbean,3269.0,29875475.0,Montalvo-Ortiz JL,Cannabis-related aggression,initial,2018-06-06,GCST006175,Biological process,#fee08b
197,African Am./Caribbean,1229.0,29885931.0,Langefeld CD,End stage renal disease in APOL1 risk genotype-positive individuals,initial,2018-06-06,GCST006816,Other disease,#fee08b
198,African Am./Caribbean,1229.0,29885931.0,Langefeld CD,End stage renal disease in APOL1 risk genotype-positive individuals,initial,2018-06-06,GCST006816,Other measurement,#fee08b
199,African Am./Caribbean,3076.0,29885931.0,Langefeld CD,End stage renal disease in APOL1 risk genotype-negative individuals,initial,2018-06-06,GCST006815,Other disease,#fee08b
200,African Am./Caribbean,3076.0,29885931.0,Langefeld CD,End stage renal disease in APOL1 risk genotype-negative individuals,initial,2018-06-06,GCST006815,Other measurement,#fee08b
201,African Am./Caribbean,2649.0,29885931.0,Langefeld CD,End stage renal disease x APOL1 genotype interaction,initial,2018-06-06,GCST006813,Other disease,#fee08b
202,African Am./Caribbean,2649.0,29885931.0,Langefeld CD,End stage renal disease x APOL1 genotype interaction,initial,2018-06-06,GCST006813,Other measurement,#fee08b
203,European,2110.0,29883787.0,Gregson CL,Bone mineral density (total hip),initial,2018-06-05,GCST006143,Other measurement,#d53e4f
204,European,300486.0,29844566.0,Davies G,General cognitive ability,initial,2018-05-29,GCST006269,Biological process,#d53e4f
205,European,330069.0,29844566.0,Davies G,Reaction time,initial,2018-05-29,GCST006268,Other measurement,#d53e4f
206,European,44192.0,29808027.0,Tedja MS,Spherical equivalent,initial,2018-05-28,GCST006289,Other measurement,#d53e4f
207,Asian,15044.0,29808027.0,Tedja MS,Spherical equivalent,initial,2018-05-28,GCST006289,Other measurement,#3288bd
208,Asian,2275.0,29808027.0,Tedja MS,Spherical equivalent,initial,2018-05-28,GCST006289,Other measurement,#3288bd
209,Asian,2110.0,29808027.0,Tedja MS,Spherical equivalent,initial,2018-05-28,GCST006289,Other measurement,#3288bd
210,Asian,2506.0,29808027.0,Tedja MS,Spherical equivalent,initial,2018-05-28,GCST006289,Other measurement,#3288bd
211,Asian,2506.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),initial,2018-05-28,GCST006291,Other measurement,#3288bd
212,Asian,2110.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),initial,2018-05-28,GCST006291,Other measurement,#3288bd
213,Asian,2275.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),initial,2018-05-28,GCST006291,Other measurement,#3288bd
214,Asian,15044.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),initial,2018-05-28,GCST006291,Other measurement,#3288bd
215,European,95505.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),replication,2018-05-28,GCST006291,Other measurement,#d53e4f
216,European,148485.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),initial,2018-05-28,GCST006291,Other measurement,#d53e4f
217,Asian,2506.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),initial,2018-05-28,GCST006291,Other trait,#3288bd
218,Asian,2110.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),initial,2018-05-28,GCST006291,Other trait,#3288bd
219,Asian,2275.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),initial,2018-05-28,GCST006291,Other trait,#3288bd
220,Asian,15044.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),initial,2018-05-28,GCST006291,Other trait,#3288bd
221,European,95505.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),replication,2018-05-28,GCST006291,Other trait,#d53e4f
222,European,148485.0,29808027.0,Tedja MS,Spherical equivalent or myopia (age of diagnosis),initial,2018-05-28,GCST006291,Other trait,#d53e4f
223,European,104293.0,29808027.0,Tedja MS,Myopia (age of diagnosis),initial,2018-05-28,GCST006290,Other measurement,#d53e4f
224,European,104293.0,29808027.0,Tedja MS,Myopia (age of diagnosis),initial,2018-05-28,GCST006290,Other trait,#d53e4f
