,Other measurement,Cardiovascular measurement,Neurological disorder,Digestive system disorder,Cancer,Cardiovascular disease,Metabolic disorder,Other disease,Biological process,Immune system disorder,Response to drug,Other trait,Body measurement,Hematological measurement,Lipid or lipoprotein measurement,Inflammatory measurement,Liver enzyme measurement,Year
African,258.0,258.0,1213.0,0.0,10463.0,315.0,0.0,3485.0,0.0,637.0,0.0,114.0,0.0,1213.0,42990.0,0.0,0.0,2014
Other/Mixed,12222.0,117.0,5645.0,70.0,4010.0,2399.0,3286.0,561.0,953.0,561.0,5251.0,5741.0,8.0,0.0,0.0,0.0,0.0,2014
European,5600983.0,39804.0,238799.0,102901.0,1849136.0,680021.0,61834.0,963340.0,201980.0,447263.0,218494.0,464939.0,4632132.0,159722.0,265438.0,1845.0,844.0,2015
In Part Not Recorded,137054.0,13.0,288496.0,247.0,17675.0,13191.0,6230.0,4435.0,37976.0,1909.0,6510.0,17565.0,18754.0,117.0,2164.0,117.0,19.0,2015
Hispanic/Latin American,11121.0,85.0,4625.0,0.0,3700.0,15815.0,2867.0,6097.0,901.0,2560.0,4026.0,67524.0,1276.0,0.0,0.0,0.0,0.0,2015
African Am./Caribbean,52963.0,982.0,1756.0,6193.0,2489.0,20793.0,6526.0,13343.0,1548.0,5428.0,10613.0,17282.0,4432.0,0.0,2895.0,0.0,0.0,2015
Asian,242190.0,65282.0,50326.0,15065.0,39901.0,138609.0,6446.0,34215.0,1603.0,43951.0,5744.0,42589.0,19196.0,0.0,42903.0,0.0,325.0,2015
African,3703.0,3750.0,1027.0,10421.0,43.0,0.0,0.0,820.0,13.0,20.0,1742.0,2427.0,0.0,258.0,0.0,258.0,0.0,2015
Other/Mixed,11439.0,0.0,6577.0,0.0,3150.0,15391.0,2105.0,8435.0,660.0,3790.0,3320.0,24597.0,361.0,2547.0,3923.0,0.0,0.0,2015
European,10628225.0,1550192.0,4614543.0,428486.0,3925566.0,2597590.0,362248.0,500937.0,938931.0,615160.0,2444499.0,1551247.0,632778.0,5890523.0,278534.0,550919.0,17347.0,2016
In Part Not Recorded,322983.0,7385.0,57929.0,7453.0,28346.0,0.0,77562.0,21009.0,1550.0,1351498.0,703.0,99.0,255328.0,0.0,1299311.0,745469.0,0.0,2016
Hispanic/Latin American,269939.0,149977.0,37165.0,1177.0,7369.0,4586.0,6499.0,18.0,906.0,1956.0,212755.0,1474.0,7015.0,12491.0,23147.0,0.0,0.0,2016
African Am./Caribbean,206967.0,96313.0,12836.0,0.0,33376.0,23865.0,3571.0,38178.0,3683.0,0.0,77180.0,5740.0,30494.0,62512.0,25480.0,0.0,0.0,2016
Asian,197595.0,62092.0,60971.0,13506.0,81049.0,41900.0,52144.0,5202.0,1405.0,17247.0,5377.0,30940.0,197715.0,90954.0,14775.0,0.0,0.0,2016
African,40812.0,3783.0,96.0,752.0,3212.0,0.0,0.0,7721.0,0.0,0.0,540.0,198.0,0.0,0.0,0.0,0.0,0.0,2016
Other/Mixed,4400.0,684.0,2947.0,0.0,26.0,10099.0,4086.0,3230.0,622.0,0.0,5235.0,721.0,4252.0,0.0,4082.0,0.0,0.0,2016
European,13677931.0,939614.0,2412387.0,695805.0,2602854.0,1227831.0,1089345.0,2031533.0,2592191.0,811366.0,60780.0,586625.0,5456660.0,413941.0,1841180.0,20446.0,39162.0,2017
In Part Not Recorded,1151075.0,35887.0,648504.0,100224.0,135380.0,1876390.0,186757.0,333428.0,2979.0,46243.0,108260.0,8402.0,35828.0,2622.0,50566.0,5406.0,0.0,2017
Hispanic/Latin American,227669.0,87032.0,12310.0,438.0,263.0,18994.0,16404.0,46551.0,61423.0,3888.0,64.0,12721.0,78040.0,146559.0,0.0,11809.0,60.0,2017
African Am./Caribbean,167198.0,21203.0,38422.0,67.0,38861.0,22959.0,2625.0,9621.0,131592.0,5422.0,2870.0,8804.0,329338.0,2706.0,552.0,202.0,111.0,2017
Asian,407931.0,29792.0,122689.0,7857.0,54760.0,83352.0,48839.0,124086.0,121302.0,2729.0,3688.0,41279.0,489082.0,0.0,279732.0,0.0,0.0,2017
African,146838.0,62512.0,8464.0,696.0,932.0,49595.0,0.0,6227.0,1772.0,538.0,2253.0,510.0,2626.0,0.0,0.0,0.0,0.0,2017
Other/Mixed,20876.0,27875.0,160436.0,808.0,152.0,146309.0,281.0,0.0,2531.0,2078.0,30390.0,10472.0,30482.0,0.0,22156.0,0.0,56.0,2017
European,37408135.0,3165466.0,7450176.0,3312186.0,3874195.0,8138913.0,5209059.0,5850844.0,5090363.0,1315909.0,46695.0,5890885.0,7396698.0,2426881.0,9744609.0,392421.0,0.0,2018
In Part Not Recorded,2052998.0,7171.0,2233258.0,639533.0,328737.0,2946812.0,474971.0,17815.0,131627.0,2699155.0,968599.0,12058.0,1241823.0,7010.0,2951503.0,0.0,29001.0,2018
Hispanic/Latin American,405061.0,61039.0,14251.0,1108.0,20614.0,66202.0,2583.0,16021.0,34290.0,28.0,1858.0,12840.0,8322.0,4595.0,161332.0,0.0,0.0,2018
African Am./Caribbean,677333.0,37649.0,27176.0,4705.0,13874.0,80953.0,20880.0,29848.0,95988.0,2308.0,2852.0,30565.0,3069.0,20375.0,252992.0,0.0,0.0,2018
Asian,3692025.0,805812.0,233163.0,44160.0,199548.0,260755.0,90362.0,215615.0,94327.0,17662.0,28166.0,212428.0,28480.0,1359169.0,400930.0,137467.0,491675.0,2018
African,315328.0,148432.0,11994.0,1828.0,1040.0,49227.0,0.0,624.0,892.0,4.0,4.0,5437.0,0.0,2104.0,11324.0,0.0,0.0,2018
Other/Mixed,43573.0,9099.0,10026.0,0.0,0.0,101047.0,306666.0,358.0,19.0,0.0,0.0,74994.0,5406.0,0.0,6313.0,0.0,0.0,2018
European,41861972.0,1462098.0,6488566.0,1551001.0,1384671.0,1587636.0,236354.0,6318026.0,8665220.0,402203.0,96772.0,6615307.0,3990887.0,12525.0,3972891.0,103950.0,2150.0,2019
In Part Not Recorded,1620852.0,58918.0,3165608.0,63.0,3488.0,365009.0,898.0,1321753.0,1018449.0,659.0,11778.0,486842.0,33064.0,1655.0,1354.0,97.0,0.0,2019
Hispanic/Latin American,420133.0,57566.0,14175.0,59266.0,17155.0,43582.0,20708.0,79668.0,78173.0,0.0,1084.0,12217.0,108045.0,53136.0,354621.0,15912.0,8816.0,2019
African Am./Caribbean,532915.0,10677.0,58479.0,1447.0,95.0,20500.0,64889.0,58421.0,282723.0,0.0,1367.0,858.0,111332.0,21584.0,438921.0,8349.0,0.0,2019
Asian,1088400.0,246675.0,33792.0,38303.0,24673.0,7437.0,219029.0,233749.0,138453.0,4359.0,9407.0,6081.0,101365.0,1512.0,446361.0,1811.0,13898.0,2019
African,407762.0,3284.0,552.0,0.0,0.0,47858.0,15100.0,572.0,0.0,0.0,552.0,0.0,0.0,176669.0,476182.0,14379.0,0.0,2019
Other/Mixed,280992.0,687.0,82320.0,3165.0,58.0,4340.0,4170.0,23666.0,203916.0,3635.0,11319.0,58.0,710963.0,1352.0,12745.0,2351.0,0.0,2019
